# Structural comparison of an/userGuide.t2t against an/userGuide-newRevisions/17614/userGuide.t2t
en 13.6. start:2104 paragraphs:3, tables:0, lists:1
an 13.6. start:2105 paragraphs:3, tables:0, lists:1
en 13.7. start:2115 paragraphs:4, tables:0, lists:1
an 13.7. start:2116 paragraphs:4, tables:0, lists:1
en 13.8. start:2130 paragraphs:1, tables:0, lists:0
an 13.8. start:2131 paragraphs:1, tables:0, lists:0
en 14. start:2133 paragraphs:1, tables:0, lists:0
an 14. start:2134 paragraphs:1, tables:0, lists:0
en 14.1. start:2137 paragraphs:3, tables:0, lists:0
an 14.1. start:2138 paragraphs:3, tables:0, lists:0
en 14.2. start:2147 paragraphs:2, tables:0, lists:0
an 14.2. start:2148 paragraphs:2, tables:0, lists:0
en 14.3. start:2154 paragraphs:1, tables:0, lists:0
an 14.3. start:2155 paragraphs:1, tables:0, lists:0
en 14.4. start:2159 paragraphs:2, tables:0, lists:1
an 14.4. start:2160 paragraphs:2, tables:0, lists:1
en 14.5. start:2172 paragraphs:2, tables:0, lists:0
an 14.5. start:2173 paragraphs:2, tables:0, lists:0
en 15. start:2180 paragraphs:1, tables:0, lists:0
an 15. start:2181 paragraphs:1, tables:0, lists:0
en 15.1. start:2183 paragraphs:2, tables:0, lists:1
an 15.1. start:2184 paragraphs:2, tables:0, lists:1
en 15.2. start:2199 paragraphs:5, tables:3, lists:0
an 15.2. start:2200 paragraphs:5, tables:3, lists:0
en 15.3. start:2260 paragraphs:4, tables:1, lists:0
an 15.3. start:2261 paragraphs:4, tables:1, lists:0
en 15.4. start:2312 paragraphs:3, tables:1, lists:1
an 15.4. start:2313 paragraphs:3, tables:1, lists:1
en 15.5. start:2346 paragraphs:3, tables:1, lists:0
an 15.5. start:2347 paragraphs:3, tables:1, lists:0
en 15.6. start:2368 paragraphs:6, tables:2, lists:1
an 15.6. start:2369 paragraphs:6, tables:2, lists:1
en 15.7. start:2404 paragraphs:3, tables:1, lists:0
an 15.7. start:2405 paragraphs:3, tables:1, lists:0
en 15.8. start:2423 paragraphs:3, tables:1, lists:0
an 15.8. start:2424 paragraphs:3, tables:1, lists:0
en 15.9. start:2442 paragraphs:3, tables:0, lists:1
an 15.9. start:2443 paragraphs:3, tables:0, lists:1
en 15.9.1. start:2456 paragraphs:0, tables:1, lists:0
an 15.9.1. start:2457 paragraphs:0, tables:1, lists:0
en 15.9.2. start:2481 paragraphs:0, tables:1, lists:0
an 15.9.2. start:2482 paragraphs:0, tables:1, lists:0
en 15.9.3. start:2489 paragraphs:0, tables:1, lists:0
an 15.9.3. start:2490 paragraphs:0, tables:1, lists:0
en 15.10. start:2499 paragraphs:2, tables:1, lists:0
an 15.10. start:2500 paragraphs:2, tables:1, lists:0
en 15.11. start:2571 paragraphs:3, tables:1, lists:0
an 15.11. start:2572 paragraphs:3, tables:1, lists:0
en 15.12. start:2595 paragraphs:9, tables:3, lists:2
an 15.12. start:2596 paragraphs:9, tables:3, lists:2
en 15.13. start:2677 paragraphs:8, tables:4, lists:1
an 15.13. start:2678 paragraphs:8, tables:4, lists:1
en 15.14. start:2761 paragraphs:9, tables:3, lists:1
an 15.14. start:2762 paragraphs:9, tables:3, lists:1
en 15.15. start:2853 paragraphs:3, tables:1, lists:1
an 15.15. start:2854 paragraphs:3, tables:1, lists:1
en 15.16. start:2889 paragraphs:1, tables:1, lists:0
an 15.16. start:2890 paragraphs:1, tables:1, lists:0
en 15.17. start:2899 paragraphs:3, tables:1, lists:0
an 15.17. start:2900 paragraphs:3, tables:1, lists:0
en 15.18. start:2983 paragraphs:4, tables:1, lists:0
an 15.18. start:2984 paragraphs:4, tables:1, lists:0
en 16. start:3005 paragraphs:0, tables:0, lists:0
an 16. start:3006 paragraphs:0, tables:0, lists:0
en 16.1. start:3007 paragraphs:6, tables:3, lists:0
an 16.1. start:3008 paragraphs:6, tables:3, lists:0
en 16.2. start:3051 paragraphs:2, tables:1, lists:1
an 16.2. start:3052 paragraphs:2, tables:1, lists:1
en 17. start:3063 paragraphs:1, tables:0, lists:0
an 17. start:3064 paragraphs:1, tables:0, lists:0
# end of comparison
