# Structural comparison of bg/userGuide.t2t against bg/userGuide-newRevisions/22485/userGuide.t2t
en 1. start:12 paragraphs:2, tables:0, lists:0
bg 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:19 paragraphs:4, tables:0, lists:1
bg 1.1. start:18 paragraphs:4, tables:0, lists:1
en 1.3. start:51 paragraphs:1, tables:0, lists:0
bg 1.3. start:49 paragraphs:1, tables:0, lists:0
en 1.4. start:55 paragraphs:3, tables:0, lists:0
bg 1.4. start:53 paragraphs:3, tables:0, lists:0
en 1.5. start:62 paragraphs:2, tables:0, lists:0
bg 1.5. start:60 paragraphs:2, tables:0, lists:0
en 1.6. start:70 paragraphs:3, tables:0, lists:0
bg 1.6. start:69 paragraphs:3, tables:0, lists:0
en 2. start:83 paragraphs:1, tables:0, lists:0
bg 2. start:82 paragraphs:1, tables:0, lists:0
en 2.1. start:90 paragraphs:2, tables:0, lists:0
bg 2.1. start:89 paragraphs:2, tables:0, lists:0
en 2.1.1. start:99 paragraphs:2, tables:0, lists:1
bg 2.1.1. start:98 paragraphs:2, tables:0, lists:1
en 2.2. start:112 paragraphs:2, tables:0, lists:0
bg 2.2. start:111 paragraphs:2, tables:0, lists:0
en 2.2.1. start:120 paragraphs:6, tables:0, lists:2
bg 2.2.1. start:119 paragraphs:6, tables:0, lists:2
en 2.2.2. start:154 paragraphs:2, tables:0, lists:1
bg 2.2.2. start:153 paragraphs:2, tables:0, lists:1
en 2.3. start:186 paragraphs:2, tables:0, lists:0
bg 2.3. start:185 paragraphs:2, tables:0, lists:0
en 2.3.1. start:196 paragraphs:1, tables:0, lists:0
bg 2.3.1. start:195 paragraphs:1, tables:0, lists:0
en 2.3.2. start:200 paragraphs:1, tables:0, lists:0
bg 2.3.2. start:199 paragraphs:1, tables:0, lists:0
en 2.3.3. start:205 paragraphs:0, tables:1, lists:0
bg 2.3.3. start:204 paragraphs:0, tables:1, lists:0
en 2.3.4. start:212 paragraphs:0, tables:1, lists:0
bg 2.3.4. start:211 paragraphs:0, tables:1, lists:0
en 2.3.5. start:219 paragraphs:0, tables:1, lists:0
bg 2.3.5. start:218 paragraphs:0, tables:1, lists:0
en 2.3.6. start:229 paragraphs:0, tables:1, lists:0
bg 2.3.6. start:228 paragraphs:0, tables:1, lists:0
en 2.3.7. start:236 paragraphs:0, tables:1, lists:0
bg 2.3.7. start:235 paragraphs:0, tables:1, lists:0
en 2.3.8. start:243 paragraphs:1, tables:1, lists:0
bg 2.3.8. start:242 paragraphs:1, tables:1, lists:0
en 2.4. start:256 paragraphs:1, tables:0, lists:0
bg 2.4. start:255 paragraphs:1, tables:0, lists:0
en 2.5. start:264 paragraphs:2, tables:0, lists:0
bg 2.5. start:263 paragraphs:2, tables:0, lists:0
en 2.6. start:275 paragraphs:5, tables:0, lists:1
bg 2.6. start:274 paragraphs:6, tables:0, lists:1
en 3. start:297 paragraphs:0, tables:0, lists:0
bg 3. start:298 paragraphs:0, tables:0, lists:0
en 3.1. start:299 paragraphs:2, tables:0, lists:0
bg 3.1. start:300 paragraphs:2, tables:0, lists:0
en 3.1.1. start:310 paragraphs:1, tables:0, lists:0
bg 3.1.1. start:311 paragraphs:1, tables:0, lists:0
en 3.1.2. start:317 paragraphs:1, tables:0, lists:0
bg 3.1.2. start:318 paragraphs:1, tables:0, lists:0
en 3.1.3. start:322 paragraphs:1, tables:0, lists:0
bg 3.1.3. start:323 paragraphs:1, tables:0, lists:0
en 3.1.4. start:326 paragraphs:1, tables:0, lists:0
bg 3.1.4. start:327 paragraphs:1, tables:0, lists:0
en 3.2. start:331 paragraphs:2, tables:0, lists:0
bg 3.2. start:332 paragraphs:2, tables:0, lists:0
en 3.3. start:344 paragraphs:4, tables:0, lists:1
bg 3.3. start:345 paragraphs:4, tables:0, lists:1
en 4. start:366 paragraphs:0, tables:0, lists:0
bg 4. start:367 paragraphs:0, tables:0, lists:0
en 4.1. start:368 paragraphs:5, tables:0, lists:0
bg 4.1. start:369 paragraphs:5, tables:0, lists:0
en 4.1.1. start:388 paragraphs:1, tables:0, lists:0
bg 4.1.1. start:389 paragraphs:1, tables:0, lists:0
en 4.1.2. start:397 paragraphs:1, tables:0, lists:0
bg 4.1.2. start:398 paragraphs:1, tables:0, lists:0
en 4.2. start:404 paragraphs:0, tables:0, lists:0
bg 4.2. start:405 paragraphs:0, tables:0, lists:0
en 4.2.1. start:406 paragraphs:3, tables:0, lists:0
bg 4.2.1. start:407 paragraphs:3, tables:0, lists:0
en 4.2.2. start:415 paragraphs:2, tables:0, lists:0
bg 4.2.2. start:416 paragraphs:2, tables:0, lists:0
en 4.3. start:423 paragraphs:1, tables:0, lists:0
bg 4.3. start:424 paragraphs:1, tables:0, lists:0
en 4.3.1. start:432 paragraphs:1, tables:0, lists:0
bg 4.3.1. start:433 paragraphs:1, tables:0, lists:0
en 4.3.2. start:437 paragraphs:7, tables:0, lists:0
bg 4.3.2. start:438 paragraphs:7, tables:0, lists:0
en 4.3.3. start:460 paragraphs:2, tables:0, lists:0
bg 4.3.3. start:461 paragraphs:2, tables:0, lists:0
en 4.3.4. start:471 paragraphs:2, tables:0, lists:0
bg 4.3.4. start:472 paragraphs:2, tables:0, lists:0
en 4.4. start:480 paragraphs:2, tables:0, lists:0
bg 4.4. start:481 paragraphs:2, tables:0, lists:0
en 4.5. start:488 paragraphs:3, tables:0, lists:1
bg 4.5. start:489 paragraphs:3, tables:0, lists:1
en 4.6. start:501 paragraphs:0, tables:1, lists:0
