# Structural comparison of de/userGuide.t2t against de/userGuide-newRevisions/22933/userGuide.t2t
en 9. start:1126 paragraphs:3, tables:0, lists:0
de 9. start:1125 paragraphs:3, tables:0, lists:0
en 9.1. start:1135 paragraphs:3, tables:0, lists:1
de 9.1. start:1134 paragraphs:3, tables:0, lists:1
en 9.2. start:1146 paragraphs:4, tables:1, lists:0
de 9.2. start:1145 paragraphs:5, tables:1, lists:0
en 10. start:1164 paragraphs:3, tables:0, lists:0
de 10. start:1163 paragraphs:3, tables:0, lists:0
en 10.1. start:1178 paragraphs:5, tables:0, lists:0
de 10.1. start:1177 paragraphs:5, tables:0, lists:0
en 11. start:1194 paragraphs:1, tables:0, lists:0
de 11. start:1193 paragraphs:1, tables:0, lists:0
en 11.1. start:1197 paragraphs:0, tables:0, lists:0
de 11.1. start:1196 paragraphs:0, tables:0, lists:0
en 11.1.1. start:1199 paragraphs:4, tables:1, lists:0
de 11.1.1. start:1198 paragraphs:5, tables:1, lists:0
en 12.1.2. start:1515 paragraphs:29, tables:1, lists:0
de 12.1.2. start:1513 paragraphs:29, tables:1, lists:0
en 12.1.3. start:1637 paragraphs:5, tables:0, lists:0
de 12.1.3. start:1635 paragraphs:5, tables:0, lists:0
en 12.1.4. start:1655 paragraphs:1, tables:1, lists:0
de 12.1.4. start:1653 paragraphs:1, tables:1, lists:0
en 12.1.5. start:1665 paragraphs:35, tables:3, lists:0
de 12.1.5. start:1663 paragraphs:35, tables:3, lists:0
en 12.1.6. start:1829 paragraphs:14, tables:0, lists:0
de 12.1.6. start:1827 paragraphs:14, tables:0, lists:0
en 12.1.7. start:1876 paragraphs:9, tables:1, lists:1
de 12.1.7. start:1873 paragraphs:9, tables:1, lists:1
en 12.1.8. start:1917 paragraphs:8, tables:0, lists:1
de 12.1.8. start:1914 paragraphs:8, tables:0, lists:1
en 12.1.9. start:1953 paragraphs:18, tables:0, lists:1
de 12.1.9. start:1950 paragraphs:18, tables:0, lists:1
en 12.1.10. start:2014 paragraphs:11, tables:0, lists:0
de 12.1.10. start:2011 paragraphs:11, tables:0, lists:0
en 12.1.11. start:2058 paragraphs:3, tables:0, lists:0
de 12.1.11. start:2055 paragraphs:3, tables:0, lists:0
en 12.1.12. start:2073 paragraphs:8, tables:0, lists:0
de 12.1.12. start:2070 paragraphs:8, tables:0, lists:0
en 12.1.13. start:2097 paragraphs:18, tables:0, lists:2
de 12.1.13. start:2094 paragraphs:18, tables:0, lists:2
en 12.1.14. start:2162 paragraphs:6, tables:0, lists:0
de 12.1.14. start:2159 paragraphs:6, tables:0, lists:0
en 12.1.15. start:2192 paragraphs:17, tables:0, lists:0
de 12.1.15. start:2189 paragraphs:17, tables:0, lists:0
en 12.1.16. start:2268 paragraphs:11, tables:0, lists:2
de 12.1.16. start:2265 paragraphs:11, tables:0, lists:2
en 12.1.17. start:2347 paragraphs:4, tables:1, lists:1
de 12.1.17. start:2344 paragraphs:4, tables:1, lists:1
en 12.1.18. start:2370 paragraphs:3, tables:0, lists:0
de 12.1.18. start:2367 paragraphs:3, tables:0, lists:0
en 12.1.19. start:2384 paragraphs:33, tables:6, lists:8
de 12.1.19. start:2382 paragraphs:32, tables:6, lists:8
en 12.2. start:2598 paragraphs:1, tables:0, lists:0
de 12.2. start:2595 paragraphs:1, tables:0, lists:0
en 12.2.1. start:2601 paragraphs:9, tables:0, lists:1
de 12.2.1. start:2598 paragraphs:9, tables:0, lists:1
en 12.2.2. start:2637 paragraphs:8, tables:0, lists:1
de 12.2.2. start:2634 paragraphs:8, tables:0, lists:1
en 12.2.3. start:2674 paragraphs:9, tables:0, lists:1
de 12.2.3. start:2671 paragraphs:9, tables:0, lists:1
en 12.3. start:2707 paragraphs:3, tables:1, lists:0
de 12.3. start:2704 paragraphs:3, tables:1, lists:0
en 12.4. start:2722 paragraphs:3, tables:0, lists:0
de 12.4. start:2719 paragraphs:3, tables:0, lists:0
en 12.4.1. start:2733 paragraphs:5, tables:0, lists:1
de 12.4.1. start:2730 paragraphs:5, tables:0, lists:1
en 12.4.2. start:2749 paragraphs:3, tables:0, lists:0
de 12.4.2. start:2746 paragraphs:3, tables:0, lists:0
en 12.4.3. start:2761 paragraphs:1, tables:0, lists:0
de 12.4.3. start:2758 paragraphs:1, tables:0, lists:0
en 12.4.4. start:2769 paragraphs:5, tables:0, lists:1
de 12.4.4. start:2766 paragraphs:5, tables:0, lists:1
en 12.4.5. start:2782 paragraphs:2, tables:0, lists:0
de 12.4.5. start:2779 paragraphs:2, tables:0, lists:0
en 12.4.6. start:2790 paragraphs:2, tables:0, lists:0
de 12.4.6. start:2787 paragraphs:2, tables:0, lists:0
en 12.4.7. start:2797 paragraphs:1, tables:0, lists:0
de 12.4.7. start:2794 paragraphs:1, tables:0, lists:0
en 12.5. start:2805 paragraphs:3, tables:0, lists:0
de 12.5. start:2802 paragraphs:3, tables:0, lists:0
en 13. start:2817 paragraphs:4, tables:0, lists:1
de 13. start:2814 paragraphs:4, tables:0, lists:1
en 13.1. start:2835 paragraphs:2, tables:0, lists:0
de 13.1. start:2832 paragraphs:2, tables:0, lists:0
en 13.1.1. start:2844 paragraphs:1, tables:0, lists:0
de 13.1.1. start:2841 paragraphs:1, tables:0, lists:0
en 13.1.2. start:2849 paragraphs:2, tables:0, lists:0
de 13.1.2. start:2846 paragraphs:2, tables:0, lists:0
en 13.1.3. start:2860 paragraphs:1, tables:0, lists:0
de 13.1.3. start:2857 paragraphs:1, tables:0, lists:0
en 13.1.4. start:2863 paragraphs:3, tables:0, lists:1
de 13.1.4. start:2860 paragraphs:3, tables:0, lists:1
en 13.1.5. start:2875 paragraphs:1, tables:0, lists:0
de 13.1.5. start:2872 paragraphs:1, tables:0, lists:0
en 13.2. start:2881 paragraphs:1, tables:0, lists:0
de 13.2. start:2878 paragraphs:1, tables:0, lists:0
en 13.2.1. start:2886 paragraphs:6, tables:0, lists:0
de 13.2.1. start:2883 paragraphs:6, tables:0, lists:0
en 13.2.2. start:2908 paragraphs:1, tables:0, lists:0
de 13.2.2. start:2905 paragraphs:1, tables:0, lists:0
en 13.2.3. start:2915 paragraphs:1, tables:0, lists:0
de 13.2.3. start:2912 paragraphs:1, tables:0, lists:0
en 13.2.4. start:2925 paragraphs:1, tables:0, lists:0
de 13.2.4. start:2922 paragraphs:1, tables:0, lists:0
en 13.3. start:2933 paragraphs:4, tables:0, lists:0
de 13.3. start:2930 paragraphs:4, tables:0, lists:0
en 14. start:2950 paragraphs:0, tables:0, lists:0
de 14. start:2947 paragraphs:0, tables:0, lists:0
en 14.1. start:2952 paragraphs:4, tables:1, lists:0
de 14.1. start:2949 paragraphs:4, tables:1, lists:0
en 14.2. start:2969 paragraphs:5, tables:0, lists:0
de 14.2. start:2966 paragraphs:5, tables:0, lists:0
en 14.3. start:2984 paragraphs:6, tables:0, lists:0
de 14.3. start:2981 paragraphs:6, tables:0, lists:0
en 14.4. start:3008 paragraphs:1, tables:0, lists:0
de 14.4. start:3005 paragraphs:1, tables:0, lists:0
en 14.5. start:3012 paragraphs:1, tables:0, lists:0
de 14.5. start:3009 paragraphs:1, tables:0, lists:0
en 14.6. start:3016 paragraphs:4, tables:0, lists:1
de 14.6. start:3013 paragraphs:4, tables:0, lists:1
en 14.7. start:3027 paragraphs:5, tables:0, lists:1
de 14.7. start:3024 paragraphs:5, tables:0, lists:1
en 14.8. start:3042 paragraphs:2, tables:1, lists:0
de 14.8. start:3039 paragraphs:2, tables:1, lists:0
en 15. start:3054 paragraphs:1, tables:0, lists:0
de 15. start:3051 paragraphs:1, tables:0, lists:0
en 15.1. start:3058 paragraphs:3, tables:0, lists:0
de 15.1. start:3055 paragraphs:3, tables:0, lists:0
en 15.2. start:3068 paragraphs:2, tables:0, lists:0
de 15.2. start:3065 paragraphs:2, tables:0, lists:0
en 15.3. start:3075 paragraphs:1, tables:0, lists:0
de 15.3. start:3072 paragraphs:1, tables:0, lists:0
en 15.4. start:3080 paragraphs:3, tables:0, lists:1
de 15.4. start:3077 paragraphs:3, tables:0, lists:1
en 15.5. start:3093 paragraphs:3, tables:0, lists:0
de 15.5. start:3090 paragraphs:3, tables:0, lists:0
en 16. start:3110 paragraphs:1, tables:0, lists:0
de 16. start:3106 paragraphs:1, tables:0, lists:0
en 16.1. start:3113 paragraphs:3, tables:0, lists:1
de 16.1. start:3109 paragraphs:3, tables:0, lists:1
en 16.2. start:3133 paragraphs:5, tables:3, lists:0
de 16.2. start:3129 paragraphs:5, tables:3, lists:0
en 16.3. start:3205 paragraphs:4, tables:1, lists:0
de 16.3. start:3201 paragraphs:4, tables:1, lists:0
en 16.4. start:3257 paragraphs:3, tables:1, lists:1
de 16.4. start:3253 paragraphs:3, tables:1, lists:1
en 16.5. start:3291 paragraphs:3, tables:1, lists:0
de 16.5. start:3287 paragraphs:3, tables:1, lists:0
en 16.6. start:3313 paragraphs:6, tables:2, lists:1
de 16.6. start:3309 paragraphs:6, tables:2, lists:1
en 16.7. start:3358 paragraphs:3, tables:1, lists:0
de 16.7. start:3354 paragraphs:3, tables:1, lists:0
en 16.8. start:3377 paragraphs:3, tables:1, lists:0
de 16.8. start:3373 paragraphs:3, tables:1, lists:0
en 16.9. start:3396 paragraphs:4, tables:0, lists:1
de 16.9. start:3392 paragraphs:4, tables:0, lists:1
en 16.9.1. start:3410 paragraphs:0, tables:1, lists:0
de 16.9.1. start:3406 paragraphs:0, tables:1, lists:0
en 16.9.2. start:3435 paragraphs:0, tables:1, lists:0
de 16.9.2. start:3431 paragraphs:0, tables:1, lists:0
en 16.9.3. start:3443 paragraphs:0, tables:1, lists:0
de 16.9.3. start:3439 paragraphs:0, tables:1, lists:0
en 16.10. start:3453 paragraphs:2, tables:1, lists:0
de 16.10. start:3449 paragraphs:2, tables:1, lists:0
en 16.11. start:3524 paragraphs:2, tables:0, lists:1
de 16.11. start:3520 paragraphs:2, tables:0, lists:1
en 16.11.1. start:3532 paragraphs:2, tables:1, lists:1
de 16.11.1. start:3527 paragraphs:2, tables:1, lists:1
en 16.11.2. start:3557 paragraphs:2, tables:1, lists:1
de 16.11.2. start:3552 paragraphs:2, tables:1, lists:1
en 16.12. start:3598 paragraphs:10, tables:3, lists:3
de 16.12. start:3593 paragraphs:11, tables:3, lists:3
en 16.13. start:3689 paragraphs:9, tables:4, lists:1
de 16.13. start:3685 paragraphs:9, tables:4, lists:1
en 16.14. start:3773 paragraphs:10, tables:3, lists:1
de 16.14. start:3770 paragraphs:10, tables:3, lists:1
en 16.15. start:3865 paragraphs:4, tables:1, lists:1
de 16.15. start:3862 paragraphs:4, tables:1, lists:1
en 16.16. start:3901 paragraphs:1, tables:1, lists:0
de 16.16. start:3898 paragraphs:1, tables:1, lists:0
en 16.17. start:3911 paragraphs:2, tables:0, lists:0
de 16.17. start:3908 paragraphs:2, tables:0, lists:0
en 16.17.1. start:3921 paragraphs:0, tables:1, lists:0
de 16.17.1. start:3919 paragraphs:0, tables:1, lists:0
en 16.17.2. start:3984 paragraphs:0, tables:1, lists:0
de 16.17.2. start:3982 paragraphs:0, tables:1, lists:0
en 16.17.3. start:4006 paragraphs:0, tables:1, lists:0
de 16.17.3. start:4004 paragraphs:0, tables:1, lists:0
en 16.17.4. start:4024 paragraphs:0, tables:1, lists:0
de 16.17.4. start:4022 paragraphs:0, tables:1, lists:0
en 16.17.5. start:4043 paragraphs:0, tables:1, lists:0
de 16.17.5. start:4041 paragraphs:0, tables:1, lists:0
en 16.18. start:4071 paragraphs:2, tables:1, lists:0
de 16.18. start:4069 paragraphs:2, tables:1, lists:0
en 16.19. start:4087 paragraphs:4, tables:1, lists:0
de 16.19. start:4085 paragraphs:4, tables:1, lists:0
en 16.20. start:4116 paragraphs:3, tables:1, lists:0
de 16.20. start:4114 paragraphs:3, tables:1, lists:0
en 16.21. start:4180 paragraphs:3, tables:1, lists:0
de 16.21. start:4178 paragraphs:3, tables:1, lists:0
en 17. start:4209 paragraphs:0, tables:0, lists:0
de 17. start:4208 paragraphs:0, tables:0, lists:0
en 17.1. start:4211 paragraphs:6, tables:0, lists:1
de 17.1. start:4210 paragraphs:6, tables:0, lists:1
en 17.2. start:4241 paragraphs:4, tables:0, lists:1
de 17.2. start:4240 paragraphs:4, tables:0, lists:1
en 17.3. start:4255 paragraphs:6, tables:3, lists:0
de 17.3. start:4254 paragraphs:6, tables:3, lists:0
en 17.4. start:4305 paragraphs:3, tables:1, lists:1
de 17.4. start:4304 paragraphs:3, tables:1, lists:1
en 18. start:4318 paragraphs:1, tables:0, lists:0
de 18. start:4317 paragraphs:1, tables:0, lists:0
# end of comparison
