# Structural comparison of es_CO/userGuide.t2t against es_CO/userGuide-newRevisions/14512/userGuide.t2t
en 1.5. start:54 paragraphs:2, tables:0, lists:0
es_CO 1.5. start:55 paragraphs:2, tables:0, lists:0
en 2. start:62 paragraphs:0, tables:0, lists:1
es_CO 2. start:63 paragraphs:0, tables:0, lists:1
en 3. start:71 paragraphs:6, tables:0, lists:0
es_CO 3. start:72 paragraphs:6, tables:0, lists:0
en 3.1. start:90 paragraphs:1, tables:0, lists:1
es_CO 3.1. start:91 paragraphs:1, tables:0, lists:1
en 3.2. start:99 paragraphs:2, tables:0, lists:0
es_CO 3.2. start:100 paragraphs:2, tables:0, lists:0
en 3.2.1. start:109 paragraphs:1, tables:0, lists:0
es_CO 3.2.1. start:110 paragraphs:1, tables:0, lists:0
en 3.2.2. start:113 paragraphs:1, tables:0, lists:0
es_CO 3.2.2. start:116 paragraphs:1, tables:0, lists:0
en 3.2.3. start:117 paragraphs:1, tables:0, lists:0
es_CO 3.2.3. start:121 paragraphs:1, tables:0, lists:0
es_CO 3.2.4. start:125 paragraphs:1, tables:0, lists:0
en 3.3. start:122 paragraphs:2, tables:0, lists:0
es_CO 3.3. start:130 paragraphs:2, tables:0, lists:0
en 4. start:134 paragraphs:0, tables:0, lists:0
es_CO 4. start:142 paragraphs:0, tables:0, lists:0
en 4.1. start:136 paragraphs:5, tables:0, lists:0
es_CO 4.1. start:144 paragraphs:5, tables:0, lists:0
en 4.1.1. start:154 paragraphs:1, tables:0, lists:0
es_CO 4.1.1. start:162 paragraphs:2, tables:0, lists:0
es_CO 4.1.2. start:173 paragraphs:3, tables:0, lists:0
es_CO 4.1.3. start:182 paragraphs:2, tables:0, lists:0
en 4.2. start:163 paragraphs:0, tables:0, lists:0
es_CO 4.2. start:190 paragraphs:1, tables:0, lists:0
en 4.2.1. start:165 paragraphs:3, tables:0, lists:0
es_CO 4.2.1. start:195 paragraphs:1, tables:0, lists:0
en 4.2.2. start:174 paragraphs:2, tables:0, lists:0
es_CO 4.2.2. start:200 paragraphs:7, tables:0, lists:0
es_CO 4.2.3. start:223 paragraphs:2, tables:0, lists:0
es_CO 4.2.4. start:234 paragraphs:2, tables:0, lists:0
en 4.3. start:182 paragraphs:1, tables:0, lists:0
es_CO 4.3. start:243 paragraphs:2, tables:0, lists:0
en 4.3.1. start:187 paragraphs:1, tables:0, lists:0
en 4.3.2. start:192 paragraphs:7, tables:0, lists:0
en 4.3.3. start:215 paragraphs:2, tables:0, lists:0
en 4.3.4. start:226 paragraphs:2, tables:0, lists:0
en 4.4. start:235 paragraphs:2, tables:0, lists:0
es_CO 4.4. start:251 paragraphs:2, tables:0, lists:0
en 4.5. start:243 paragraphs:2, tables:0, lists:0
es_CO 4.5. start:259 paragraphs:0, tables:1, lists:0
en 4.6. start:251 paragraphs:0, tables:1, lists:0
es_CO 4.6. start:272 paragraphs:0, tables:1, lists:0
en 4.7. start:264 paragraphs:0, tables:1, lists:0
en 5. start:272 paragraphs:1, tables:0, lists:0
es_CO 5. start:280 paragraphs:1, tables:0, lists:0
en 5.1. start:275 paragraphs:1, tables:0, lists:0
es_CO 5.1. start:283 paragraphs:1, tables:0, lists:0
en 5.2. start:279 paragraphs:3, tables:1, lists:0
es_CO 5.2. start:287 paragraphs:3, tables:1, lists:0
en 5.3. start:295 paragraphs:4, tables:2, lists:0
es_CO 5.3. start:303 paragraphs:4, tables:2, lists:0
en 5.4. start:320 paragraphs:7, tables:1, lists:0
es_CO 5.4. start:328 paragraphs:7, tables:1, lists:0
en 5.5. start:364 paragraphs:6, tables:2, lists:0
es_CO 5.5. start:372 paragraphs:6, tables:2, lists:0
en 5.6. start:406 paragraphs:2, tables:1, lists:0
es_CO 5.6. start:415 paragraphs:2, tables:1, lists:0
en 5.6.1. start:417 paragraphs:1, tables:0, lists:0
es_CO 5.6.1. start:426 paragraphs:1, tables:0, lists:0
en 5.6.2. start:422 paragraphs:3, tables:0, lists:0
es_CO 5.6.2. start:431 paragraphs:3, tables:0, lists:0
en 5.6.3. start:431 paragraphs:3, tables:0, lists:0
es_CO 5.6.3. start:440 paragraphs:3, tables:0, lists:0
en 5.7. start:440 paragraphs:5, tables:1, lists:0
es_CO 5.7. start:449 paragraphs:5, tables:1, lists:0
en 6. start:465 paragraphs:3, tables:1, lists:0
es_CO 6. start:474 paragraphs:4, tables:1, lists:1
en 6.1. start:494 paragraphs:4, tables:1, lists:1
es_CO 6.1. start:514 paragraphs:4, tables:1, lists:1
en 6.2. start:536 paragraphs:1, tables:1, lists:0
es_CO 6.2. start:556 paragraphs:1, tables:1, lists:0
en 6.3. start:547 paragraphs:1, tables:1, lists:0
es_CO 6.3. start:567 paragraphs:1, tables:1, lists:0
es_CO 6.4. start:580 paragraphs:1, tables:1, lists:0
en 7. start:559 paragraphs:3, tables:0, lists:1
es_CO 7. start:592 paragraphs:3, tables:0, lists:1
en 7.1. start:576 paragraphs:5, tables:1, lists:1
es_CO 7.1. start:609 paragraphs:5, tables:1, lists:1
en 8. start:598 paragraphs:2, tables:0, lists:0
es_CO 8. start:631 paragraphs:2, tables:0, lists:0
en 8.1. start:605 paragraphs:3, tables:3, lists:0
es_CO 8.1. start:639 paragraphs:3, tables:3, lists:0
en 8.2. start:693 paragraphs:3, tables:0, lists:0
es_CO 8.2. start:727 paragraphs:3, tables:0, lists:0
en 9. start:708 paragraphs:3, tables:0, lists:0
es_CO 9. start:742 paragraphs:3, tables:0, lists:0
en 9.1. start:722 paragraphs:3, tables:0, lists:0
