# Structural comparison of fr/userGuide.t2t against fr/userGuide-newRevisions/22863/userGuide.t2t
en 2. start:82 paragraphs:1, tables:0, lists:0
fr 2. start:81 paragraphs:1, tables:0, lists:0
en 2.1. start:89 paragraphs:2, tables:0, lists:0
fr 2.1. start:88 paragraphs:2, tables:0, lists:0
en 2.1.1. start:98 paragraphs:2, tables:0, lists:1
fr 2.1.1. start:97 paragraphs:2, tables:0, lists:1
en 2.2. start:111 paragraphs:2, tables:0, lists:0
fr 2.2. start:110 paragraphs:2, tables:0, lists:0
en 2.2.1. start:119 paragraphs:6, tables:0, lists:2
fr 2.2.1. start:118 paragraphs:6, tables:0, lists:2
en 2.2.2. start:153 paragraphs:2, tables:0, lists:1
fr 2.2.2. start:152 paragraphs:2, tables:0, lists:1
en 2.3. start:185 paragraphs:2, tables:0, lists:0
fr 2.3. start:184 paragraphs:2, tables:0, lists:0
en 2.3.1. start:195 paragraphs:1, tables:0, lists:0
fr 2.3.1. start:194 paragraphs:1, tables:0, lists:0
en 2.3.2. start:199 paragraphs:1, tables:0, lists:0
fr 2.3.2. start:198 paragraphs:1, tables:0, lists:0
en 2.3.3. start:204 paragraphs:0, tables:1, lists:0
fr 2.3.3. start:203 paragraphs:0, tables:1, lists:0
en 2.3.4. start:211 paragraphs:0, tables:1, lists:0
fr 2.3.4. start:210 paragraphs:0, tables:1, lists:0
en 2.3.5. start:218 paragraphs:0, tables:1, lists:0
fr 2.3.5. start:217 paragraphs:0, tables:1, lists:0
en 2.3.6. start:228 paragraphs:0, tables:1, lists:0
fr 2.3.6. start:227 paragraphs:0, tables:1, lists:0
en 2.3.7. start:235 paragraphs:0, tables:1, lists:0
fr 2.3.7. start:234 paragraphs:0, tables:1, lists:0
en 2.3.8. start:242 paragraphs:1, tables:1, lists:0
fr 2.3.8. start:241 paragraphs:1, tables:1, lists:0
en 2.4. start:255 paragraphs:1, tables:0, lists:0
fr 2.4. start:254 paragraphs:1, tables:0, lists:0
en 2.5. start:263 paragraphs:2, tables:0, lists:0
fr 2.5. start:262 paragraphs:2, tables:0, lists:0
en 2.6. start:274 paragraphs:6, tables:0, lists:1
fr 2.6. start:273 paragraphs:6, tables:0, lists:1
en 3. start:298 paragraphs:0, tables:0, lists:0
fr 3. start:297 paragraphs:0, tables:0, lists:0
en 3.1. start:300 paragraphs:2, tables:0, lists:0
fr 3.1. start:299 paragraphs:2, tables:0, lists:0
en 3.1.1. start:311 paragraphs:1, tables:0, lists:0
fr 3.1.1. start:310 paragraphs:1, tables:0, lists:0
en 3.1.2. start:318 paragraphs:1, tables:0, lists:0
fr 3.1.2. start:317 paragraphs:1, tables:0, lists:0
en 3.1.3. start:323 paragraphs:1, tables:0, lists:0
fr 3.1.3. start:322 paragraphs:1, tables:0, lists:0
en 3.1.4. start:327 paragraphs:1, tables:0, lists:0
fr 3.1.4. start:326 paragraphs:1, tables:0, lists:0
en 3.2. start:332 paragraphs:2, tables:0, lists:0
fr 3.2. start:331 paragraphs:2, tables:0, lists:0
en 3.3. start:345 paragraphs:4, tables:0, lists:1
fr 3.3. start:344 paragraphs:4, tables:0, lists:1
en 4. start:367 paragraphs:0, tables:0, lists:0
fr 4. start:366 paragraphs:0, tables:0, lists:0
en 4.1. start:369 paragraphs:5, tables:0, lists:0
fr 4.1. start:368 paragraphs:5, tables:0, lists:0
en 4.1.1. start:389 paragraphs:1, tables:0, lists:0
fr 4.1.1. start:388 paragraphs:1, tables:0, lists:0
en 4.1.2. start:398 paragraphs:1, tables:0, lists:0
fr 4.1.2. start:397 paragraphs:1, tables:0, lists:0
en 4.2. start:405 paragraphs:0, tables:0, lists:0
fr 4.2. start:404 paragraphs:0, tables:0, lists:0
en 4.2.1. start:407 paragraphs:3, tables:0, lists:0
fr 4.2.1. start:406 paragraphs:3, tables:0, lists:0
en 4.2.2. start:416 paragraphs:2, tables:0, lists:0
fr 4.2.2. start:415 paragraphs:2, tables:0, lists:0
en 4.3. start:424 paragraphs:1, tables:0, lists:0
fr 4.3. start:423 paragraphs:1, tables:0, lists:0
en 4.3.1. start:433 paragraphs:1, tables:0, lists:0
fr 4.3.1. start:432 paragraphs:1, tables:0, lists:0
en 4.3.2. start:438 paragraphs:7, tables:0, lists:0
fr 4.3.2. start:437 paragraphs:7, tables:0, lists:0
en 4.3.3. start:461 paragraphs:2, tables:0, lists:0
fr 4.3.3. start:460 paragraphs:2, tables:0, lists:0
en 4.3.4. start:472 paragraphs:2, tables:0, lists:0
fr 4.3.4. start:471 paragraphs:2, tables:0, lists:0
en 4.4. start:481 paragraphs:2, tables:0, lists:0
fr 4.4. start:480 paragraphs:2, tables:0, lists:0
en 4.5. start:489 paragraphs:3, tables:0, lists:1
fr 4.5. start:488 paragraphs:3, tables:0, lists:1
en 4.6. start:502 paragraphs:0, tables:1, lists:0
fr 4.6. start:501 paragraphs:0, tables:1, lists:0
en 4.7. start:515 paragraphs:0, tables:1, lists:0
fr 4.7. start:514 paragraphs:0, tables:1, lists:0
en 4.8. start:523 paragraphs:7, tables:1, lists:1
fr 4.8. start:522 paragraphs:7, tables:1, lists:1
en 5. start:549 paragraphs:1, tables:0, lists:0
fr 5. start:548 paragraphs:1, tables:0, lists:0
en 5.1. start:552 paragraphs:1, tables:0, lists:0
fr 5.1. start:551 paragraphs:1, tables:0, lists:0
en 5.2. start:556 paragraphs:3, tables:1, lists:0
fr 5.2. start:555 paragraphs:3, tables:1, lists:0
en 5.3. start:574 paragraphs:4, tables:2, lists:0
fr 5.3. start:573 paragraphs:4, tables:2, lists:0
en 5.4. start:609 paragraphs:8, tables:1, lists:0
fr 5.4. start:608 paragraphs:8, tables:1, lists:0
en 5.5. start:660 paragraphs:6, tables:2, lists:0
fr 5.5. start:659 paragraphs:6, tables:2, lists:0
en 5.6. start:705 paragraphs:2, tables:1, lists:0
fr 5.6. start:704 paragraphs:2, tables:1, lists:0
en 5.6.1. start:715 paragraphs:1, tables:0, lists:0
fr 5.6.1. start:714 paragraphs:1, tables:0, lists:0
en 5.6.2. start:720 paragraphs:3, tables:0, lists:0
fr 5.6.2. start:719 paragraphs:3, tables:0, lists:0
en 5.6.3. start:729 paragraphs:3, tables:0, lists:0
fr 5.6.3. start:728 paragraphs:3, tables:0, lists:0
en 5.7. start:738 paragraphs:5, tables:1, lists:0
fr 5.7. start:737 paragraphs:5, tables:1, lists:0
en 6. start:763 paragraphs:5, tables:1, lists:1
fr 6. start:762 paragraphs:5, tables:1, lists:1
en 6.1. start:803 paragraphs:4, tables:1, lists:1
fr 6.1. start:802 paragraphs:4, tables:1, lists:1
en 6.1.1. start:845 paragraphs:4, tables:0, lists:2
fr 6.1.1. start:844 paragraphs:4, tables:0, lists:2
en 6.2. start:865 paragraphs:1, tables:1, lists:0
fr 6.2. start:864 paragraphs:1, tables:1, lists:0
en 6.3. start:876 paragraphs:1, tables:1, lists:0
fr 6.3. start:875 paragraphs:1, tables:1, lists:0
en 6.4. start:889 paragraphs:1, tables:1, lists:0
fr 6.4. start:888 paragraphs:1, tables:1, lists:0
en 6.5. start:901 paragraphs:2, tables:1, lists:0
fr 6.5. start:900 paragraphs:3, tables:1, lists:0
en 7. start:917 paragraphs:1, tables:0, lists:0
fr 7. start:916 paragraphs:1, tables:0, lists:0
en 7.1. start:924 paragraphs:3, tables:0, lists:1
fr 7.1. start:923 paragraphs:3, tables:0, lists:1
en 7.2. start:948 paragraphs:9, tables:1, lists:2
fr 7.2. start:947 paragraphs:10, tables:1, lists:2
en 7.3. start:978 paragraphs:1, tables:0, lists:0
en 8. start:987 paragraphs:2, tables:0, lists:0
