# Structural comparison of gl/userGuide.t2t against gl/userGuide-newRevisions/15408/userGuide.t2t
en 11.1.11. start:1386 paragraphs:15, tables:0, lists:1
gl 11.1.11. start:1386 paragraphs:14, tables:0, lists:1
en 11.1.12. start:1443 paragraphs:6, tables:0, lists:0
gl 11.1.12. start:1442 paragraphs:6, tables:0, lists:0
en 11.1.13. start:1473 paragraphs:13, tables:0, lists:0
gl 11.1.13. start:1472 paragraphs:13, tables:0, lists:0
en 11.1.14. start:1520 paragraphs:7, tables:0, lists:2
gl 11.1.14. start:1519 paragraphs:7, tables:0, lists:2
en 11.1.15. start:1580 paragraphs:2, tables:0, lists:0
gl 11.1.15. start:1579 paragraphs:2, tables:0, lists:0
en 11.2. start:1587 paragraphs:1, tables:0, lists:0
gl 11.2. start:1586 paragraphs:1, tables:0, lists:0
en 11.2.1. start:1590 paragraphs:8, tables:0, lists:1
gl 11.2.1. start:1589 paragraphs:8, tables:0, lists:1
en 11.2.2. start:1624 paragraphs:6, tables:0, lists:1
gl 11.2.2. start:1623 paragraphs:6, tables:0, lists:1
en 11.2.3. start:1653 paragraphs:6, tables:0, lists:0
gl 11.2.3. start:1652 paragraphs:6, tables:0, lists:0
en 11.3. start:1673 paragraphs:3, tables:1, lists:0
gl 11.3. start:1672 paragraphs:3, tables:1, lists:0
en 11.4. start:1688 paragraphs:3, tables:0, lists:0
gl 11.4. start:1687 paragraphs:3, tables:0, lists:0
en 11.4.1. start:1699 paragraphs:4, tables:0, lists:1
gl 11.4.1. start:1698 paragraphs:4, tables:0, lists:1
en 11.4.2. start:1715 paragraphs:3, tables:0, lists:0
gl 11.4.2. start:1714 paragraphs:3, tables:0, lists:0
en 11.4.3. start:1727 paragraphs:1, tables:0, lists:0
gl 11.4.3. start:1726 paragraphs:1, tables:0, lists:0
en 11.4.4. start:1735 paragraphs:4, tables:0, lists:1
gl 11.4.4. start:1734 paragraphs:4, tables:0, lists:1
en 11.4.5. start:1748 paragraphs:2, tables:0, lists:0
gl 11.4.5. start:1747 paragraphs:2, tables:0, lists:0
en 11.4.6. start:1756 paragraphs:2, tables:0, lists:0
gl 11.4.6. start:1755 paragraphs:2, tables:0, lists:0
en 11.5. start:1763 paragraphs:3, tables:0, lists:0
gl 11.5. start:1762 paragraphs:3, tables:0, lists:0
en 12. start:1774 paragraphs:0, tables:0, lists:0
gl 12. start:1773 paragraphs:0, tables:0, lists:0
en 12.1. start:1776 paragraphs:2, tables:0, lists:0
gl 12.1. start:1775 paragraphs:2, tables:0, lists:0
en 12.2. start:1782 paragraphs:5, tables:0, lists:0
gl 12.2. start:1781 paragraphs:5, tables:0, lists:0
en 12.3. start:1797 paragraphs:10, tables:0, lists:0
gl 12.3. start:1796 paragraphs:10, tables:0, lists:0
en 12.4. start:1840 paragraphs:1, tables:0, lists:0
gl 12.4. start:1839 paragraphs:1, tables:0, lists:0
en 12.5. start:1844 paragraphs:1, tables:0, lists:0
gl 12.5. start:1843 paragraphs:1, tables:0, lists:0
en 13. start:1847 paragraphs:1, tables:0, lists:0
