# Structural comparison of he/userGuide.t2t against he/userGuide-newRevisions/19973/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
he 1. start:10 paragraphs:1, tables:0, lists:0
en 1.1. start:17 paragraphs:3, tables:0, lists:1
he 1.1. start:15 paragraphs:3, tables:0, lists:1
en 1.2. start:37 paragraphs:1, tables:0, lists:0
he 1.2. start:33 paragraphs:1, tables:0, lists:0
en 1.3. start:41 paragraphs:3, tables:0, lists:0
he 1.3. start:37 paragraphs:3, tables:0, lists:0
en 1.4. start:48 paragraphs:2, tables:0, lists:0
he 1.4. start:44 paragraphs:2, tables:0, lists:0
en 1.5. start:56 paragraphs:3, tables:0, lists:0
he 1.5. start:50 paragraphs:2, tables:0, lists:0
en 2. start:68 paragraphs:1, tables:0, lists:1
he 2. start:58 paragraphs:1, tables:0, lists:1
en 3. start:75 paragraphs:6, tables:0, lists:0
he 3. start:69 paragraphs:6, tables:0, lists:0
en 3.1. start:94 paragraphs:2, tables:0, lists:1
he 3.1. start:88 paragraphs:2, tables:0, lists:1
en 3.2. start:103 paragraphs:2, tables:0, lists:0
he 3.2. start:97 paragraphs:2, tables:0, lists:0
en 3.2.1. start:113 paragraphs:1, tables:0, lists:0
he 3.2.1. start:107 paragraphs:1, tables:0, lists:0
en 3.2.2. start:119 paragraphs:1, tables:0, lists:0
he 3.2.2. start:111 paragraphs:1, tables:0, lists:0
en 3.2.3. start:124 paragraphs:1, tables:0, lists:0
he 3.2.3. start:115 paragraphs:1, tables:0, lists:0
en 3.2.4. start:128 paragraphs:1, tables:0, lists:0
en 3.3. start:133 paragraphs:2, tables:0, lists:0
he 3.3. start:120 paragraphs:2, tables:0, lists:0
en 4. start:145 paragraphs:0, tables:0, lists:0
he 4. start:132 paragraphs:0, tables:0, lists:0
en 4.1. start:147 paragraphs:5, tables:0, lists:0
he 4.1. start:134 paragraphs:5, tables:0, lists:0
en 4.1.1. start:167 paragraphs:1, tables:0, lists:0
en 4.1.2. start:176 paragraphs:1, tables:0, lists:0
en 4.2. start:183 paragraphs:0, tables:0, lists:0
he 4.2. start:155 paragraphs:0, tables:0, lists:0
en 4.2.1. start:185 paragraphs:3, tables:0, lists:0
he 4.2.1. start:157 paragraphs:3, tables:0, lists:0
en 4.2.2. start:194 paragraphs:2, tables:0, lists:0
he 4.2.2. start:166 paragraphs:2, tables:0, lists:0
en 4.3. start:202 paragraphs:1, tables:0, lists:0
he 4.3. start:174 paragraphs:1, tables:0, lists:0
en 4.3.1. start:211 paragraphs:1, tables:0, lists:0
he 4.3.1. start:179 paragraphs:1, tables:0, lists:0
en 4.3.2. start:216 paragraphs:7, tables:0, lists:0
he 4.3.2. start:184 paragraphs:7, tables:0, lists:0
en 4.3.3. start:239 paragraphs:2, tables:0, lists:0
he 4.3.3. start:207 paragraphs:2, tables:0, lists:0
en 4.3.4. start:250 paragraphs:2, tables:0, lists:0
en 4.4. start:259 paragraphs:2, tables:0, lists:0
he 4.4. start:218 paragraphs:2, tables:0, lists:0
en 4.5. start:267 paragraphs:2, tables:0, lists:0
he 4.5. start:226 paragraphs:2, tables:0, lists:0
en 4.6. start:275 paragraphs:0, tables:1, lists:0
he 4.6. start:234 paragraphs:0, tables:1, lists:0
en 4.7. start:289 paragraphs:0, tables:1, lists:0
he 4.7. start:247 paragraphs:0, tables:1, lists:0
en 5. start:297 paragraphs:1, tables:0, lists:0
he 5. start:255 paragraphs:1, tables:0, lists:0
en 5.1. start:300 paragraphs:1, tables:0, lists:0
he 5.1. start:258 paragraphs:1, tables:0, lists:0
en 5.2. start:304 paragraphs:3, tables:1, lists:0
he 5.2. start:262 paragraphs:3, tables:1, lists:0
en 5.3. start:321 paragraphs:4, tables:2, lists:0
he 5.3. start:278 paragraphs:4, tables:2, lists:0
en 5.4. start:346 paragraphs:7, tables:1, lists:0
he 5.4. start:303 paragraphs:7, tables:1, lists:0
en 5.5. start:388 paragraphs:6, tables:2, lists:0
he 5.5. start:345 paragraphs:6, tables:2, lists:0
en 5.6. start:431 paragraphs:2, tables:1, lists:0
he 5.6. start:387 paragraphs:2, tables:1, lists:0
en 5.6.1. start:442 paragraphs:1, tables:0, lists:0
he 5.6.1. start:398 paragraphs:1, tables:0, lists:0
en 5.6.2. start:447 paragraphs:3, tables:0, lists:0
he 5.6.2. start:403 paragraphs:3, tables:0, lists:0
en 5.6.3. start:456 paragraphs:3, tables:0, lists:0
he 5.6.3. start:412 paragraphs:3, tables:0, lists:0
en 5.7. start:465 paragraphs:5, tables:1, lists:0
he 5.7. start:421 paragraphs:5, tables:1, lists:0
en 6. start:490 paragraphs:5, tables:1, lists:1
he 6. start:446 paragraphs:3, tables:1, lists:0
en 6.1. start:531 paragraphs:4, tables:1, lists:1
he 6.1. start:476 paragraphs:4, tables:1, lists:1
en 6.2. start:573 paragraphs:1, tables:1, lists:0
he 6.2. start:517 paragraphs:1, tables:1, lists:0
en 6.3. start:584 paragraphs:1, tables:1, lists:0
he 6.3. start:528 paragraphs:1, tables:1, lists:0
en 6.4. start:597 paragraphs:1, tables:1, lists:0
en 7. start:609 paragraphs:4, tables:0, lists:1
he 7. start:539 paragraphs:4, tables:0, lists:1
en 7.1. start:628 paragraphs:7, tables:1, lists:1
he 7.1. start:553 paragraphs:6, tables:1, lists:1
en 8. start:653 paragraphs:2, tables:0, lists:0
he 8. start:575 paragraphs:1, tables:0, lists:0
en 8.1. start:662 paragraphs:3, tables:3, lists:0
he 8.1. start:578 paragraphs:0, tables:0, lists:0
he 8.1.1. start:580 paragraphs:2, tables:1, lists:0
he 8.1.2. start:593 paragraphs:1, tables:0, lists:0
he 8.1.2.1. start:600 paragraphs:1, tables:0, lists:0
he 8.1.3. start:606 paragraphs:1, tables:0, lists:0
en 8.2. start:754 paragraphs:3, tables:0, lists:0
he 8.2. start:612 paragraphs:0, tables:0, lists:0
he 8.2.1. start:614 paragraphs:2, tables:1, lists:0
he 8.2.2. start:627 paragraphs:2, tables:0, lists:1
he 8.2.3. start:649 paragraphs:1, tables:0, lists:0
he 8.2.4. start:655 paragraphs:1, tables:0, lists:0
he 8.2.5. start:661 paragraphs:1, tables:0, lists:0
he 8.3. start:667 paragraphs:0, tables:1, lists:0
he 8.4. start:673 paragraphs:1, tables:1, lists:0
he 8.5. start:681 paragraphs:0, tables:1, lists:0
he 8.6. start:687 paragraphs:0, tables:1, lists:0
he 8.7. start:694 paragraphs:1, tables:1, lists:0
he 8.8. start:701 paragraphs:3, tables:0, lists:0
he 8.8.1. start:715 paragraphs:1, tables:0, lists:0
