# Structural comparison of hu/userGuide.t2t against hu/userGuide-newRevisions/19173/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
hu 1. start:10 paragraphs:0, tables:0, lists:0
en 1.1. start:17 paragraphs:3, tables:0, lists:1
hu 1.1. start:11 paragraphs:3, tables:0, lists:1
en 1.2. start:37 paragraphs:1, tables:0, lists:0
hu 1.2. start:31 paragraphs:1, tables:0, lists:0
en 1.3. start:41 paragraphs:3, tables:0, lists:0
hu 1.3. start:35 paragraphs:2, tables:0, lists:0
en 1.4. start:48 paragraphs:2, tables:0, lists:0
hu 1.4. start:41 paragraphs:1, tables:0, lists:0
en 1.5. start:56 paragraphs:3, tables:0, lists:0
hu 1.5. start:46 paragraphs:4, tables:0, lists:0
en 2. start:68 paragraphs:1, tables:0, lists:1
hu 2. start:57 paragraphs:1, tables:0, lists:1
en 3. start:75 paragraphs:6, tables:0, lists:0
hu 3. start:67 paragraphs:5, tables:0, lists:0
en 3.1. start:94 paragraphs:2, tables:0, lists:1
hu 3.1. start:80 paragraphs:2, tables:0, lists:1
en 3.2. start:103 paragraphs:2, tables:0, lists:0
hu 3.2. start:90 paragraphs:2, tables:0, lists:0
en 3.2.1. start:113 paragraphs:1, tables:0, lists:0
hu 3.2.1. start:96 paragraphs:1, tables:0, lists:0
en 3.2.2. start:119 paragraphs:1, tables:0, lists:0
hu 3.2.2. start:99 paragraphs:1, tables:0, lists:0
en 3.2.3. start:124 paragraphs:1, tables:0, lists:0
hu 3.2.3. start:103 paragraphs:1, tables:0, lists:0
en 3.2.4. start:128 paragraphs:1, tables:0, lists:0
en 3.3. start:133 paragraphs:2, tables:0, lists:0
hu 3.3. start:106 paragraphs:5, tables:0, lists:0
en 4. start:145 paragraphs:0, tables:0, lists:0
hu 4. start:117 paragraphs:0, tables:0, lists:0
en 4.1. start:147 paragraphs:5, tables:0, lists:0
hu 4.1. start:118 paragraphs:6, tables:0, lists:0
en 4.1.1. start:167 paragraphs:1, tables:0, lists:0
en 4.1.2. start:176 paragraphs:1, tables:0, lists:0
en 4.2. start:183 paragraphs:0, tables:0, lists:0
hu 4.2. start:137 paragraphs:0, tables:0, lists:0
en 4.2.1. start:185 paragraphs:3, tables:0, lists:0
hu 4.2.1. start:139 paragraphs:2, tables:0, lists:0
en 4.2.2. start:194 paragraphs:2, tables:0, lists:0
hu 4.2.2. start:145 paragraphs:2, tables:0, lists:0
en 4.3. start:202 paragraphs:1, tables:0, lists:0
hu 4.3. start:152 paragraphs:3, tables:0, lists:0
en 4.3.1. start:211 paragraphs:1, tables:0, lists:0
hu 4.3.1. start:160 paragraphs:3, tables:0, lists:0
en 4.3.2. start:216 paragraphs:7, tables:0, lists:0
hu 4.3.2. start:168 paragraphs:13, tables:0, lists:0
en 4.3.3. start:239 paragraphs:2, tables:0, lists:0
hu 4.3.3. start:200 paragraphs:6, tables:0, lists:0
