# Structural comparison of it/userGuide.t2t against it/userGuide-newRevisions/22863/userGuide.t2t
en 6.1. start:803 paragraphs:4, tables:1, lists:1
it 6.1. start:804 paragraphs:4, tables:1, lists:1
en 6.1.1. start:845 paragraphs:4, tables:0, lists:2
it 6.1.1. start:846 paragraphs:4, tables:0, lists:1
en 6.2. start:865 paragraphs:1, tables:1, lists:0
it 6.2. start:866 paragraphs:1, tables:1, lists:0
en 6.3. start:876 paragraphs:1, tables:1, lists:0
it 6.3. start:877 paragraphs:1, tables:1, lists:0
en 6.4. start:889 paragraphs:1, tables:1, lists:0
it 6.4. start:890 paragraphs:1, tables:1, lists:0
en 6.5. start:901 paragraphs:2, tables:1, lists:0
it 6.5. start:902 paragraphs:2, tables:1, lists:0
en 7. start:917 paragraphs:1, tables:0, lists:0
it 7. start:918 paragraphs:1, tables:0, lists:0
en 7.1. start:924 paragraphs:3, tables:0, lists:1
it 7.1. start:925 paragraphs:3, tables:0, lists:1
en 7.2. start:948 paragraphs:9, tables:1, lists:2
it 7.2. start:949 paragraphs:9, tables:1, lists:2
en 7.3. start:978 paragraphs:1, tables:0, lists:0
it 7.3. start:979 paragraphs:1, tables:0, lists:0
en 8. start:987 paragraphs:2, tables:0, lists:0
it 8. start:988 paragraphs:2, tables:0, lists:0
en 8.1. start:996 paragraphs:3, tables:3, lists:0
it 8.1. start:997 paragraphs:3, tables:3, lists:0
en 8.2. start:1089 paragraphs:3, tables:0, lists:0
it 8.2. start:1090 paragraphs:8, tables:0, lists:0
en 8.2.1. start:1104 paragraphs:5, tables:0, lists:0
en 9. start:1125 paragraphs:3, tables:0, lists:0
it 9. start:1126 paragraphs:3, tables:0, lists:0
en 9.1. start:1134 paragraphs:3, tables:0, lists:1
it 9.1. start:1135 paragraphs:3, tables:0, lists:1
en 9.2. start:1145 paragraphs:4, tables:1, lists:0
it 9.2. start:1146 paragraphs:4, tables:1, lists:0
en 10. start:1163 paragraphs:3, tables:0, lists:0
it 10. start:1164 paragraphs:3, tables:0, lists:0
en 10.1. start:1177 paragraphs:5, tables:0, lists:0
it 10.1. start:1178 paragraphs:4, tables:0, lists:0
en 11. start:1193 paragraphs:1, tables:0, lists:0
it 11. start:1191 paragraphs:1, tables:0, lists:0
en 11.1. start:1196 paragraphs:0, tables:0, lists:0
it 11.1. start:1194 paragraphs:0, tables:0, lists:0
en 11.1.1. start:1198 paragraphs:4, tables:1, lists:0
it 11.1.1. start:1196 paragraphs:4, tables:1, lists:0
en 11.1.2. start:1214 paragraphs:1, tables:0, lists:0
it 11.1.2. start:1212 paragraphs:1, tables:0, lists:0
en 11.1.2.1. start:1221 paragraphs:1, tables:0, lists:0
it 11.1.2.1. start:1219 paragraphs:1, tables:0, lists:0
en 11.1.3. start:1227 paragraphs:1, tables:0, lists:0
it 11.1.3. start:1225 paragraphs:1, tables:0, lists:0
en 11.2. start:1233 paragraphs:0, tables:0, lists:0
it 11.2. start:1231 paragraphs:0, tables:0, lists:0
en 11.2.1. start:1235 paragraphs:2, tables:1, lists:0
it 11.2.1. start:1233 paragraphs:2, tables:1, lists:0
en 11.2.2. start:1248 paragraphs:2, tables:0, lists:1
it 11.2.2. start:1246 paragraphs:2, tables:0, lists:1
en 11.2.3. start:1270 paragraphs:5, tables:0, lists:0
it 11.2.3. start:1268 paragraphs:5, tables:0, lists:0
en 11.2.4. start:1293 paragraphs:1, tables:0, lists:0
it 11.2.4. start:1291 paragraphs:1, tables:0, lists:0
en 11.2.5. start:1299 paragraphs:1, tables:0, lists:0
it 11.2.5. start:1297 paragraphs:1, tables:0, lists:0
en 11.3. start:1305 paragraphs:0, tables:1, lists:0
it 11.3. start:1303 paragraphs:0, tables:1, lists:0
en 11.4. start:1311 paragraphs:1, tables:1, lists:0
it 11.4. start:1309 paragraphs:1, tables:1, lists:0
en 11.5. start:1321 paragraphs:0, tables:1, lists:0
it 11.5. start:1319 paragraphs:0, tables:1, lists:0
en 11.6. start:1327 paragraphs:1, tables:1, lists:0
it 11.6. start:1325 paragraphs:1, tables:1, lists:0
en 11.7. start:1338 paragraphs:4, tables:0, lists:0
it 11.7. start:1336 paragraphs:4, tables:0, lists:0
en 11.7.1. start:1355 paragraphs:1, tables:0, lists:0
it 11.7.1. start:1353 paragraphs:1, tables:0, lists:0
en 11.7.2. start:1363 paragraphs:4, tables:0, lists:1
it 11.7.2. start:1361 paragraphs:4, tables:0, lists:1
en 11.8. start:1377 paragraphs:1, tables:1, lists:0
it 11.8. start:1375 paragraphs:1, tables:1, lists:0
en 11.9. start:1385 paragraphs:1, tables:1, lists:0
it 11.9. start:1383 paragraphs:1, tables:1, lists:0
en 12. start:1401 paragraphs:1, tables:0, lists:0
it 12. start:1399 paragraphs:1, tables:0, lists:0
en 12.1. start:1413 paragraphs:4, tables:0, lists:0
it 12.1. start:1411 paragraphs:4, tables:0, lists:0
en 12.1.1. start:1431 paragraphs:19, tables:0, lists:3
it 12.1.1. start:1430 paragraphs:19, tables:0, lists:3
en 12.1.2. start:1514 paragraphs:29, tables:1, lists:0
it 12.1.2. start:1514 paragraphs:27, tables:1, lists:0
en 12.1.3. start:1636 paragraphs:5, tables:0, lists:0
