# Structural comparison of mk/userGuide.t2t against mk/userGuide-newRevisions/18982/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
mk 1. start:10 paragraphs:1, tables:0, lists:0
en 1.1. start:17 paragraphs:2, tables:0, lists:1
mk 1.1. start:16 paragraphs:2, tables:0, lists:1
en 1.2. start:37 paragraphs:1, tables:0, lists:0
mk 1.2. start:36 paragraphs:1, tables:0, lists:0
en 1.3. start:41 paragraphs:3, tables:0, lists:0
mk 1.3. start:40 paragraphs:3, tables:0, lists:0
en 1.4. start:48 paragraphs:2, tables:0, lists:0
mk 1.4. start:47 paragraphs:2, tables:0, lists:0
en 1.5. start:56 paragraphs:3, tables:0, lists:0
mk 1.5. start:55 paragraphs:3, tables:0, lists:0
en 2. start:68 paragraphs:0, tables:0, lists:1
mk 2. start:67 paragraphs:0, tables:0, lists:1
en 3. start:75 paragraphs:6, tables:0, lists:0
mk 3. start:74 paragraphs:6, tables:0, lists:0
en 3.1. start:94 paragraphs:1, tables:0, lists:1
mk 3.1. start:93 paragraphs:1, tables:0, lists:1
en 3.2. start:103 paragraphs:2, tables:0, lists:0
mk 3.2. start:102 paragraphs:2, tables:0, lists:0
en 3.2.1. start:113 paragraphs:1, tables:0, lists:0
mk 3.2.1. start:112 paragraphs:1, tables:0, lists:0
en 3.2.2. start:119 paragraphs:1, tables:0, lists:0
mk 3.2.2. start:118 paragraphs:1, tables:0, lists:0
en 3.2.3. start:124 paragraphs:1, tables:0, lists:0
mk 3.2.3. start:123 paragraphs:1, tables:0, lists:0
en 3.2.4. start:128 paragraphs:1, tables:0, lists:0
mk 3.2.4. start:127 paragraphs:1, tables:0, lists:0
en 3.3. start:133 paragraphs:2, tables:0, lists:0
mk 3.3. start:132 paragraphs:2, tables:0, lists:0
en 4. start:145 paragraphs:0, tables:0, lists:0
mk 4. start:144 paragraphs:0, tables:0, lists:0
en 4.1. start:147 paragraphs:5, tables:0, lists:0
mk 4.1. start:146 paragraphs:4, tables:0, lists:0
en 4.1.1. start:167 paragraphs:1, tables:0, lists:0
mk 4.1.1. start:165 paragraphs:1, tables:0, lists:0
en 4.1.2. start:176 paragraphs:1, tables:0, lists:0
mk 4.1.2. start:174 paragraphs:1, tables:0, lists:0
en 4.2. start:183 paragraphs:0, tables:0, lists:0
mk 4.2. start:181 paragraphs:0, tables:0, lists:0
en 4.2.1. start:185 paragraphs:3, tables:0, lists:0
mk 4.2.1. start:183 paragraphs:3, tables:0, lists:0
en 4.2.2. start:194 paragraphs:2, tables:0, lists:0
mk 4.2.2. start:192 paragraphs:2, tables:0, lists:0
en 4.3. start:202 paragraphs:1, tables:0, lists:0
mk 4.3. start:200 paragraphs:1, tables:0, lists:0
en 4.3.1. start:211 paragraphs:1, tables:0, lists:0
mk 4.3.1. start:209 paragraphs:1, tables:0, lists:0
en 4.3.2. start:216 paragraphs:7, tables:0, lists:0
mk 4.3.2. start:214 paragraphs:7, tables:0, lists:0
en 4.3.3. start:239 paragraphs:2, tables:0, lists:0
mk 4.3.3. start:237 paragraphs:2, tables:0, lists:0
en 4.3.4. start:250 paragraphs:2, tables:0, lists:0
mk 4.3.4. start:248 paragraphs:2, tables:0, lists:0
en 4.4. start:259 paragraphs:2, tables:0, lists:0
mk 4.4. start:257 paragraphs:2, tables:0, lists:0
en 4.5. start:267 paragraphs:2, tables:0, lists:0
mk 4.5. start:265 paragraphs:2, tables:0, lists:0
en 4.6. start:275 paragraphs:0, tables:1, lists:0
mk 4.6. start:273 paragraphs:0, tables:1, lists:0
en 4.7. start:289 paragraphs:0, tables:1, lists:0
mk 4.7. start:287 paragraphs:0, tables:1, lists:0
en 5. start:297 paragraphs:1, tables:0, lists:0
mk 5. start:295 paragraphs:1, tables:0, lists:0
en 5.1. start:300 paragraphs:1, tables:0, lists:0
mk 5.1. start:298 paragraphs:1, tables:0, lists:0
en 5.2. start:304 paragraphs:3, tables:1, lists:0
mk 5.2. start:302 paragraphs:3, tables:1, lists:0
en 5.3. start:321 paragraphs:4, tables:2, lists:0
mk 5.3. start:319 paragraphs:4, tables:2, lists:0
en 5.4. start:346 paragraphs:7, tables:1, lists:0
mk 5.4. start:344 paragraphs:7, tables:1, lists:0
en 5.5. start:388 paragraphs:6, tables:2, lists:0
mk 5.5. start:386 paragraphs:6, tables:2, lists:0
en 5.6. start:431 paragraphs:2, tables:1, lists:0
