# Structural comparison of ne/userGuide.t2t against ne/userGuide-newRevisions/16135/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
ne 1. start:10 paragraphs:1, tables:0, lists:0
en 1.1. start:17 paragraphs:2, tables:0, lists:1
ne 1.1. start:15 paragraphs:2, tables:0, lists:1
en 1.2. start:36 paragraphs:1, tables:0, lists:0
ne 1.2. start:33 paragraphs:1, tables:0, lists:0
en 1.3. start:40 paragraphs:3, tables:0, lists:0
ne 1.3. start:37 paragraphs:3, tables:0, lists:0
en 1.4. start:47 paragraphs:2, tables:0, lists:0
ne 1.4. start:44 paragraphs:2, tables:0, lists:0
en 1.5. start:55 paragraphs:2, tables:0, lists:0
ne 1.5. start:50 paragraphs:2, tables:0, lists:0
en 2. start:63 paragraphs:0, tables:0, lists:1
ne 2. start:58 paragraphs:0, tables:0, lists:1
en 3. start:72 paragraphs:6, tables:0, lists:0
ne 3. start:67 paragraphs:6, tables:0, lists:0
en 3.1. start:91 paragraphs:1, tables:0, lists:1
ne 3.1. start:86 paragraphs:1, tables:0, lists:1
en 3.2. start:100 paragraphs:2, tables:0, lists:0
ne 3.2. start:94 paragraphs:2, tables:0, lists:0
en 3.2.1. start:110 paragraphs:1, tables:0, lists:0
ne 3.2.1. start:104 paragraphs:1, tables:0, lists:0
en 3.2.2. start:116 paragraphs:1, tables:0, lists:0
ne 3.2.2. start:108 paragraphs:1, tables:0, lists:0
en 3.2.3. start:121 paragraphs:1, tables:0, lists:0
ne 3.2.3. start:112 paragraphs:1, tables:0, lists:0
en 3.2.4. start:125 paragraphs:1, tables:0, lists:0
en 3.3. start:130 paragraphs:2, tables:0, lists:0
ne 3.3. start:117 paragraphs:2, tables:0, lists:0
en 4. start:142 paragraphs:0, tables:0, lists:0
ne 4. start:129 paragraphs:0, tables:0, lists:0
en 4.1. start:144 paragraphs:5, tables:0, lists:0
ne 4.1. start:131 paragraphs:5, tables:0, lists:0
en 4.1.1. start:162 paragraphs:1, tables:0, lists:0
en 4.2. start:171 paragraphs:0, tables:0, lists:0
ne 4.2. start:152 paragraphs:0, tables:0, lists:0
en 4.2.1. start:173 paragraphs:3, tables:0, lists:0
ne 4.2.1. start:154 paragraphs:3, tables:0, lists:0
en 4.2.2. start:182 paragraphs:2, tables:0, lists:0
ne 4.2.2. start:163 paragraphs:2, tables:0, lists:0
en 4.3. start:190 paragraphs:1, tables:0, lists:0
ne 4.3. start:171 paragraphs:1, tables:0, lists:0
en 4.3.1. start:195 paragraphs:1, tables:0, lists:0
ne 4.3.1. start:176 paragraphs:1, tables:0, lists:0
en 4.3.2. start:200 paragraphs:7, tables:0, lists:0
ne 4.3.2. start:181 paragraphs:7, tables:0, lists:0
en 4.3.3. start:223 paragraphs:2, tables:0, lists:0
ne 4.3.3. start:204 paragraphs:2, tables:0, lists:0
en 4.3.4. start:234 paragraphs:2, tables:0, lists:0
en 4.4. start:243 paragraphs:2, tables:0, lists:0
ne 4.4. start:215 paragraphs:2, tables:0, lists:0
en 4.5. start:251 paragraphs:2, tables:0, lists:0
ne 4.5. start:223 paragraphs:2, tables:0, lists:0
en 4.6. start:259 paragraphs:0, tables:1, lists:0
ne 4.6. start:231 paragraphs:0, tables:1, lists:0
en 4.7. start:272 paragraphs:0, tables:1, lists:0
ne 4.7. start:244 paragraphs:0, tables:1, lists:0
en 5. start:280 paragraphs:1, tables:0, lists:0
ne 5. start:252 paragraphs:1, tables:0, lists:0
en 5.1. start:283 paragraphs:1, tables:0, lists:0
ne 5.1. start:255 paragraphs:1, tables:0, lists:0
en 5.2. start:287 paragraphs:3, tables:1, lists:0
ne 5.2. start:259 paragraphs:3, tables:1, lists:0
en 5.3. start:303 paragraphs:4, tables:2, lists:0
ne 5.3. start:275 paragraphs:4, tables:2, lists:0
en 5.4. start:328 paragraphs:7, tables:1, lists:0
ne 5.4. start:300 paragraphs:7, tables:1, lists:0
en 5.5. start:372 paragraphs:6, tables:2, lists:0
ne 5.5. start:342 paragraphs:6, tables:2, lists:0
en 5.6. start:415 paragraphs:2, tables:1, lists:0
ne 5.6. start:384 paragraphs:2, tables:1, lists:0
en 5.6.1. start:426 paragraphs:1, tables:0, lists:0
ne 5.6.1. start:395 paragraphs:1, tables:0, lists:0
en 5.6.2. start:431 paragraphs:3, tables:0, lists:0
ne 5.6.2. start:400 paragraphs:3, tables:0, lists:0
en 5.6.3. start:440 paragraphs:3, tables:0, lists:0
ne 5.6.3. start:409 paragraphs:3, tables:0, lists:0
en 5.7. start:449 paragraphs:5, tables:1, lists:0
ne 5.7. start:418 paragraphs:5, tables:1, lists:0
en 6. start:474 paragraphs:4, tables:1, lists:1
ne 6. start:443 paragraphs:3, tables:1, lists:0
en 6.1. start:514 paragraphs:4, tables:1, lists:1
ne 6.1. start:473 paragraphs:4, tables:1, lists:1
en 6.2. start:556 paragraphs:1, tables:1, lists:0
ne 6.2. start:514 paragraphs:1, tables:1, lists:0
en 6.3. start:567 paragraphs:1, tables:1, lists:0
ne 6.3. start:525 paragraphs:1, tables:1, lists:0
en 6.4. start:583 paragraphs:1, tables:1, lists:0
en 7. start:595 paragraphs:3, tables:0, lists:1
ne 7. start:536 paragraphs:3, tables:0, lists:1
en 7.1. start:612 paragraphs:5, tables:1, lists:1
ne 7.1. start:550 paragraphs:5, tables:1, lists:1
en 8. start:634 paragraphs:2, tables:0, lists:0
ne 8. start:572 paragraphs:1, tables:0, lists:0
en 8.1. start:642 paragraphs:3, tables:3, lists:0
ne 8.1. start:575 paragraphs:0, tables:1, lists:0
en 8.2. start:730 paragraphs:3, tables:0, lists:0
ne 8.2. start:583 paragraphs:0, tables:1, lists:0
ne 8.3. start:592 paragraphs:0, tables:1, lists:0
ne 8.4. start:598 paragraphs:1, tables:1, lists:0
ne 8.5. start:606 paragraphs:0, tables:1, lists:0
ne 8.6. start:612 paragraphs:0, tables:1, lists:0
ne 8.7. start:619 paragraphs:1, tables:1, lists:0
en 9. start:745 paragraphs:3, tables:0, lists:0
ne 9. start:626 paragraphs:0, tables:0, lists:0
en 9.1. start:759 paragraphs:3, tables:0, lists:0
ne 9.1. start:628 paragraphs:2, tables:0, lists:0
ne 9.1.1. start:638 paragraphs:11, tables:0, lists:0
ne 9.1.2. start:684 paragraphs:5, tables:0, lists:0
ne 9.1.3. start:700 paragraphs:18, tables:0, lists:0
ne 9.1.4. start:775 paragraphs:1, tables:1, lists:0
ne 9.1.5. start:785 paragraphs:20, tables:0, lists:0
ne 9.1.6. start:859 paragraphs:17, tables:0, lists:0
ne 9.1.7. start:915 paragraphs:8, tables:0, lists:0
ne 9.1.8. start:945 paragraphs:7, tables:0, lists:0
ne 9.1.9. start:967 paragraphs:14, tables:0, lists:1
ne 9.1.10. start:1017 paragraphs:6, tables:0, lists:0
ne 9.1.11. start:1048 paragraphs:13, tables:0, lists:0
ne 9.1.12. start:1094 paragraphs:7, tables:0, lists:1
ne 9.1.13. start:1134 paragraphs:8, tables:0, lists:1
ne 9.1.14. start:1168 paragraphs:6, tables:0, lists:0
ne 9.1.15. start:1186 paragraphs:6, tables:0, lists:0
ne 9.2. start:1206 paragraphs:3, tables:1, lists:0
ne 9.3. start:1221 paragraphs:3, tables:0, lists:0
ne 9.3.1. start:1232 paragraphs:4, tables:0, lists:1
ne 9.3.2. start:1248 paragraphs:3, tables:0, lists:0
ne 9.3.3. start:1260 paragraphs:1, tables:0, lists:0
ne 9.3.4. start:1268 paragraphs:4, tables:0, lists:1
ne 9.3.5. start:1281 paragraphs:2, tables:0, lists:0
ne 9.3.6. start:1289 paragraphs:1, tables:0, lists:0
ne 9.4. start:1294 paragraphs:3, tables:0, lists:0
en 10. start:770 paragraphs:1, tables:0, lists:0
ne 10. start:1305 paragraphs:0, tables:0, lists:0
en 10.1. start:773 paragraphs:0, tables:0, lists:0
ne 10.1. start:1307 paragraphs:2, tables:0, lists:0
en 10.1.1. start:775 paragraphs:2, tables:1, lists:0
en 10.1.2. start:788 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:795 paragraphs:1, tables:0, lists:0
en 10.1.3. start:801 paragraphs:1, tables:0, lists:0
en 10.2. start:807 paragraphs:0, tables:0, lists:0
ne 10.2. start:1313 paragraphs:4, tables:0, lists:0
en 10.2.1. start:809 paragraphs:2, tables:1, lists:0
en 10.2.2. start:822 paragraphs:1, tables:0, lists:1
en 10.2.3. start:844 paragraphs:1, tables:0, lists:0
en 10.2.4. start:850 paragraphs:1, tables:0, lists:0
en 10.2.5. start:856 paragraphs:1, tables:0, lists:0
en 10.3. start:862 paragraphs:0, tables:1, lists:0
ne 10.3. start:1324 paragraphs:9, tables:0, lists:0
en 10.4. start:868 paragraphs:1, tables:1, lists:0
ne 10.4. start:1360 paragraphs:1, tables:0, lists:0
en 10.5. start:878 paragraphs:0, tables:1, lists:0
ne 10.5. start:1364 paragraphs:1, tables:0, lists:0
en 10.6. start:884 paragraphs:0, tables:1, lists:0
en 10.7. start:891 paragraphs:1, tables:1, lists:0
en 10.8. start:898 paragraphs:4, tables:0, lists:0
en 10.8.1. start:915 paragraphs:1, tables:0, lists:0
en 10.8.2. start:923 paragraphs:3, tables:0, lists:1
en 10.9. start:937 paragraphs:1, tables:1, lists:0
en 11. start:945 paragraphs:1, tables:0, lists:0
ne 11. start:1367 paragraphs:1, tables:0, lists:0
en 11.1. start:953 paragraphs:3, tables:0, lists:0
ne 11.1. start:1371 paragraphs:3, tables:0, lists:0
en 11.1.1. start:968 paragraphs:15, tables:0, lists:3
en 11.1.2. start:1044 paragraphs:21, tables:0, lists:0
en 11.1.3. start:1134 paragraphs:8, tables:0, lists:1
en 11.1.4. start:1163 paragraphs:1, tables:1, lists:0
en 11.1.5. start:1173 paragraphs:24, tables:0, lists:0
en 11.1.6. start:1279 paragraphs:9, tables:0, lists:0
en 11.1.7. start:1307 paragraphs:16, tables:0, lists:1
en 11.1.8. start:1365 paragraphs:10, tables:0, lists:0
en 11.1.9. start:1402 paragraphs:2, tables:0, lists:0
en 11.1.10. start:1411 paragraphs:8, tables:0, lists:0
en 11.1.11. start:1435 paragraphs:15, tables:0, lists:1
en 11.1.12. start:1492 paragraphs:6, tables:0, lists:0
en 11.1.13. start:1522 paragraphs:14, tables:0, lists:0
en 11.1.14. start:1577 paragraphs:7, tables:0, lists:2
en 11.1.15. start:1637 paragraphs:2, tables:0, lists:0
en 11.1.16. start:1644 paragraphs:12, tables:0, lists:0
en 11.2. start:1699 paragraphs:1, tables:0, lists:0
ne 11.2. start:1381 paragraphs:2, tables:0, lists:0
en 11.2.1. start:1702 paragraphs:8, tables:0, lists:1
en 11.2.2. start:1736 paragraphs:6, tables:0, lists:1
en 11.2.3. start:1766 paragraphs:6, tables:0, lists:0
en 11.3. start:1786 paragraphs:3, tables:1, lists:0
ne 11.3. start:1388 paragraphs:1, tables:0, lists:0
en 11.4. start:1801 paragraphs:3, tables:0, lists:0
ne 11.4. start:1393 paragraphs:2, tables:0, lists:1
en 11.4.1. start:1812 paragraphs:4, tables:0, lists:1
en 11.4.2. start:1828 paragraphs:3, tables:0, lists:0
en 11.4.3. start:1840 paragraphs:1, tables:0, lists:0
en 11.4.4. start:1848 paragraphs:4, tables:0, lists:1
