# Structural comparison of nl/userGuide.t2t against nl/userGuide-newRevisions/19131/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
nl 1. start:10 paragraphs:1, tables:0, lists:0
en 1.1. start:17 paragraphs:3, tables:0, lists:1
nl 1.1. start:17 paragraphs:4, tables:0, lists:1
en 1.2. start:37 paragraphs:1, tables:0, lists:0
nl 1.2. start:40 paragraphs:1, tables:0, lists:1
en 1.3. start:41 paragraphs:3, tables:0, lists:0
nl 1.3. start:48 paragraphs:1, tables:0, lists:0
en 1.4. start:48 paragraphs:2, tables:0, lists:0
nl 1.4. start:52 paragraphs:3, tables:0, lists:0
en 1.5. start:56 paragraphs:3, tables:0, lists:0
nl 1.5. start:60 paragraphs:2, tables:0, lists:0
nl 1.6. start:70 paragraphs:3, tables:0, lists:0
en 2. start:68 paragraphs:1, tables:0, lists:1
nl 2. start:83 paragraphs:1, tables:0, lists:0
nl 2.1. start:90 paragraphs:1, tables:0, lists:0
nl 2.1.1. start:98 paragraphs:2, tables:0, lists:1
nl 2.2. start:112 paragraphs:2, tables:0, lists:0
nl 2.2.1. start:120 paragraphs:6, tables:0, lists:2
nl 2.2.2. start:154 paragraphs:2, tables:0, lists:1
nl 2.3. start:186 paragraphs:2, tables:0, lists:0
nl 2.3.1. start:196 paragraphs:1, tables:0, lists:0
nl 2.3.2. start:200 paragraphs:1, tables:0, lists:0
nl 2.3.3. start:205 paragraphs:0, tables:1, lists:0
nl 2.3.4. start:212 paragraphs:0, tables:1, lists:0
nl 2.3.5. start:219 paragraphs:0, tables:1, lists:0
nl 2.3.6. start:229 paragraphs:0, tables:1, lists:0
nl 2.3.7. start:236 paragraphs:0, tables:1, lists:0
nl 2.3.8. start:243 paragraphs:2, tables:1, lists:0
nl 2.4. start:256 paragraphs:1, tables:0, lists:0
nl 2.5. start:264 paragraphs:2, tables:0, lists:0
nl 2.6. start:275 paragraphs:15, tables:0, lists:2
nl 2.7. start:346 paragraphs:4, tables:0, lists:1
en 3. start:75 paragraphs:6, tables:0, lists:0
nl 3. start:368 paragraphs:0, tables:0, lists:0
en 3.1. start:94 paragraphs:2, tables:0, lists:1
nl 3.1. start:370 paragraphs:5, tables:0, lists:0
nl 3.1.1. start:390 paragraphs:1, tables:0, lists:0
nl 3.1.2. start:399 paragraphs:1, tables:0, lists:0
en 3.2. start:103 paragraphs:2, tables:0, lists:0
nl 3.2. start:406 paragraphs:0, tables:0, lists:0
en 3.2.1. start:113 paragraphs:1, tables:0, lists:0
nl 3.2.1. start:408 paragraphs:3, tables:0, lists:0
en 3.2.2. start:119 paragraphs:1, tables:0, lists:0
nl 3.2.2. start:417 paragraphs:2, tables:0, lists:0
en 3.2.3. start:124 paragraphs:1, tables:0, lists:0
en 3.2.4. start:128 paragraphs:1, tables:0, lists:0
en 3.3. start:133 paragraphs:2, tables:0, lists:0
nl 3.3. start:425 paragraphs:1, tables:0, lists:0
nl 3.3.1. start:434 paragraphs:1, tables:0, lists:0
nl 3.3.2. start:439 paragraphs:7, tables:0, lists:0
nl 3.3.3. start:462 paragraphs:2, tables:0, lists:0
nl 3.3.4. start:473 paragraphs:2, tables:0, lists:0
nl 3.4. start:482 paragraphs:2, tables:0, lists:0
nl 3.5. start:490 paragraphs:3, tables:0, lists:1
nl 3.6. start:503 paragraphs:0, tables:1, lists:0
nl 3.7. start:516 paragraphs:0, tables:1, lists:0
nl 3.8. start:524 paragraphs:7, tables:1, lists:1
en 4. start:145 paragraphs:0, tables:0, lists:0
nl 4. start:551 paragraphs:1, tables:0, lists:0
en 4.1. start:147 paragraphs:5, tables:0, lists:0
nl 4.1. start:554 paragraphs:1, tables:0, lists:0
