# Structural comparison of pt_BR/userGuide.t2t against pt_BR/userGuide-newRevisions/14926/userGuide.t2t
en 1. start:10 paragraphs:2, tables:0, lists:0
pt_BR 1. start:11 paragraphs:2, tables:0, lists:0
en 1.1. start:17 paragraphs:2, tables:0, lists:1
pt_BR 1.1. start:18 paragraphs:2, tables:0, lists:1
en 1.2. start:36 paragraphs:1, tables:0, lists:0
pt_BR 1.2. start:37 paragraphs:1, tables:0, lists:0
en 1.3. start:40 paragraphs:3, tables:0, lists:0
pt_BR 1.3. start:41 paragraphs:3, tables:0, lists:0
en 1.4. start:47 paragraphs:2, tables:0, lists:0
pt_BR 1.4. start:48 paragraphs:2, tables:0, lists:0
en 1.5. start:54 paragraphs:2, tables:0, lists:0
pt_BR 1.5. start:55 paragraphs:2, tables:0, lists:0
en 2. start:62 paragraphs:0, tables:0, lists:1
pt_BR 2. start:63 paragraphs:0, tables:0, lists:1
en 3. start:71 paragraphs:6, tables:0, lists:0
pt_BR 3. start:72 paragraphs:6, tables:0, lists:0
en 3.1. start:90 paragraphs:1, tables:0, lists:1
pt_BR 3.1. start:91 paragraphs:1, tables:0, lists:1
en 3.2. start:99 paragraphs:2, tables:0, lists:0
pt_BR 3.2. start:100 paragraphs:2, tables:0, lists:0
en 3.2.1. start:109 paragraphs:1, tables:0, lists:0
pt_BR 3.2.1. start:110 paragraphs:1, tables:0, lists:0
en 3.2.2. start:113 paragraphs:1, tables:0, lists:0
pt_BR 3.2.2. start:114 paragraphs:1, tables:0, lists:0
en 3.2.3. start:117 paragraphs:1, tables:0, lists:0
pt_BR 3.2.3. start:118 paragraphs:1, tables:0, lists:0
en 3.3. start:122 paragraphs:2, tables:0, lists:0
pt_BR 3.3. start:123 paragraphs:2, tables:0, lists:0
en 4. start:134 paragraphs:0, tables:0, lists:0
pt_BR 4. start:135 paragraphs:0, tables:0, lists:0
en 4.1. start:136 paragraphs:5, tables:0, lists:0
pt_BR 4.1. start:137 paragraphs:5, tables:0, lists:0
en 4.1.1. start:154 paragraphs:1, tables:0, lists:0
pt_BR 4.1.1. start:155 paragraphs:1, tables:0, lists:0
en 4.2. start:163 paragraphs:0, tables:0, lists:0
pt_BR 4.2. start:164 paragraphs:0, tables:0, lists:0
en 4.2.1. start:165 paragraphs:3, tables:0, lists:0
pt_BR 4.2.1. start:166 paragraphs:3, tables:0, lists:0
en 4.2.2. start:174 paragraphs:2, tables:0, lists:0
pt_BR 4.2.2. start:175 paragraphs:2, tables:0, lists:0
en 4.3. start:182 paragraphs:1, tables:0, lists:0
pt_BR 4.3. start:183 paragraphs:1, tables:0, lists:0
en 4.3.1. start:187 paragraphs:1, tables:0, lists:0
pt_BR 4.3.1. start:188 paragraphs:1, tables:0, lists:0
en 4.3.2. start:192 paragraphs:7, tables:0, lists:0
pt_BR 4.3.2. start:193 paragraphs:7, tables:0, lists:0
en 4.3.3. start:215 paragraphs:2, tables:0, lists:0
pt_BR 4.3.3. start:216 paragraphs:2, tables:0, lists:0
en 4.3.4. start:226 paragraphs:2, tables:0, lists:0
pt_BR 4.3.4. start:227 paragraphs:2, tables:0, lists:0
en 4.4. start:235 paragraphs:2, tables:0, lists:0
pt_BR 4.4. start:236 paragraphs:2, tables:0, lists:0
en 4.5. start:243 paragraphs:2, tables:0, lists:0
pt_BR 4.5. start:244 paragraphs:2, tables:0, lists:0
en 4.6. start:251 paragraphs:0, tables:1, lists:0
pt_BR 4.6. start:252 paragraphs:0, tables:1, lists:0
en 4.7. start:264 paragraphs:0, tables:1, lists:0
pt_BR 4.7. start:265 paragraphs:0, tables:1, lists:0
en 5. start:272 paragraphs:1, tables:0, lists:0
pt_BR 5. start:273 paragraphs:1, tables:0, lists:0
en 5.1. start:275 paragraphs:1, tables:0, lists:0
pt_BR 5.1. start:276 paragraphs:1, tables:0, lists:0
en 5.2. start:279 paragraphs:3, tables:1, lists:0
pt_BR 5.2. start:280 paragraphs:3, tables:1, lists:0
en 5.3. start:295 paragraphs:4, tables:2, lists:0
pt_BR 5.3. start:296 paragraphs:4, tables:2, lists:0
en 5.4. start:320 paragraphs:7, tables:1, lists:0
pt_BR 5.4. start:321 paragraphs:7, tables:1, lists:0
en 5.5. start:364 paragraphs:6, tables:2, lists:0
pt_BR 5.5. start:365 paragraphs:6, tables:2, lists:0
en 5.6. start:406 paragraphs:2, tables:1, lists:0
pt_BR 5.6. start:407 paragraphs:2, tables:1, lists:0
en 5.6.1. start:417 paragraphs:1, tables:0, lists:0
pt_BR 5.6.1. start:418 paragraphs:1, tables:0, lists:0
en 5.6.2. start:422 paragraphs:3, tables:0, lists:0
pt_BR 5.6.2. start:423 paragraphs:3, tables:0, lists:0
en 5.6.3. start:431 paragraphs:3, tables:0, lists:0
pt_BR 5.6.3. start:432 paragraphs:3, tables:0, lists:0
en 5.7. start:440 paragraphs:5, tables:1, lists:0
pt_BR 5.7. start:441 paragraphs:5, tables:1, lists:0
en 6. start:465 paragraphs:3, tables:1, lists:0
pt_BR 6. start:466 paragraphs:3, tables:1, lists:0
en 6.1. start:494 paragraphs:4, tables:1, lists:1
pt_BR 6.1. start:495 paragraphs:4, tables:1, lists:1
en 6.2. start:536 paragraphs:1, tables:1, lists:0
pt_BR 6.2. start:537 paragraphs:1, tables:1, lists:0
en 6.3. start:547 paragraphs:1, tables:1, lists:0
pt_BR 6.3. start:548 paragraphs:1, tables:1, lists:0
en 7. start:559 paragraphs:3, tables:0, lists:1
