# Structural comparison of ro/userGuide.t2t against ro/userGuide-newRevisions/17023/userGuide.t2t
en 1.2. start:37 paragraphs:1, tables:0, lists:0
ro 1.2. start:36 paragraphs:1, tables:0, lists:0
en 1.3. start:41 paragraphs:3, tables:0, lists:0
ro 1.3. start:40 paragraphs:3, tables:0, lists:0
en 1.4. start:48 paragraphs:2, tables:0, lists:0
ro 1.4. start:47 paragraphs:2, tables:0, lists:0
en 1.5. start:56 paragraphs:2, tables:0, lists:0
ro 1.5. start:54 paragraphs:2, tables:0, lists:0
en 2. start:64 paragraphs:0, tables:0, lists:1
ro 2. start:62 paragraphs:0, tables:0, lists:1
en 3. start:73 paragraphs:6, tables:0, lists:0
ro 3. start:71 paragraphs:6, tables:0, lists:0
en 3.1. start:92 paragraphs:1, tables:0, lists:1
ro 3.1. start:90 paragraphs:1, tables:0, lists:1
en 3.2. start:101 paragraphs:2, tables:0, lists:0
ro 3.2. start:99 paragraphs:2, tables:0, lists:0
en 3.2.1. start:111 paragraphs:1, tables:0, lists:0
ro 3.2.1. start:109 paragraphs:1, tables:0, lists:0
en 3.2.2. start:117 paragraphs:1, tables:0, lists:0
ro 3.2.2. start:115 paragraphs:1, tables:0, lists:0
en 3.2.3. start:122 paragraphs:1, tables:0, lists:0
ro 3.2.3. start:119 paragraphs:1, tables:0, lists:0
en 3.2.4. start:126 paragraphs:1, tables:0, lists:0
ro 3.2.4. start:123 paragraphs:1, tables:0, lists:0
en 3.3. start:131 paragraphs:2, tables:0, lists:0
ro 3.3. start:128 paragraphs:2, tables:0, lists:0
en 4. start:143 paragraphs:0, tables:0, lists:0
ro 4. start:140 paragraphs:0, tables:0, lists:0
en 4.1. start:145 paragraphs:5, tables:0, lists:0
ro 4.1. start:142 paragraphs:5, tables:0, lists:0
en 4.1.1. start:165 paragraphs:1, tables:0, lists:0
ro 4.1.1. start:160 paragraphs:1, tables:0, lists:0
en 4.1.2. start:174 paragraphs:1, tables:0, lists:0
ro 4.1.2. start:169 paragraphs:1, tables:0, lists:0
en 4.2. start:181 paragraphs:0, tables:0, lists:0
ro 4.2. start:176 paragraphs:0, tables:0, lists:0
en 4.2.1. start:183 paragraphs:3, tables:0, lists:0
ro 4.2.1. start:178 paragraphs:3, tables:0, lists:0
en 4.2.2. start:192 paragraphs:2, tables:0, lists:0
ro 4.2.2. start:187 paragraphs:2, tables:0, lists:0
en 4.3. start:200 paragraphs:1, tables:0, lists:0
ro 4.3. start:195 paragraphs:1, tables:0, lists:0
en 4.3.1. start:205 paragraphs:1, tables:0, lists:0
ro 4.3.1. start:200 paragraphs:1, tables:0, lists:0
en 4.3.2. start:210 paragraphs:7, tables:0, lists:0
ro 4.3.2. start:205 paragraphs:7, tables:0, lists:0
en 4.3.3. start:233 paragraphs:2, tables:0, lists:0
ro 4.3.3. start:228 paragraphs:2, tables:0, lists:0
en 4.3.4. start:244 paragraphs:2, tables:0, lists:0
ro 4.3.4. start:239 paragraphs:2, tables:0, lists:0
en 4.4. start:253 paragraphs:2, tables:0, lists:0
ro 4.4. start:248 paragraphs:2, tables:0, lists:0
en 4.5. start:261 paragraphs:2, tables:0, lists:0
ro 4.5. start:256 paragraphs:2, tables:0, lists:0
en 4.6. start:269 paragraphs:0, tables:1, lists:0
ro 4.6. start:264 paragraphs:0, tables:1, lists:0
en 4.7. start:282 paragraphs:0, tables:1, lists:0
ro 4.7. start:277 paragraphs:0, tables:1, lists:0
en 5. start:290 paragraphs:1, tables:0, lists:0
ro 5. start:285 paragraphs:1, tables:0, lists:0
en 5.1. start:293 paragraphs:1, tables:0, lists:0
ro 5.1. start:288 paragraphs:1, tables:0, lists:0
en 5.2. start:297 paragraphs:3, tables:1, lists:0
ro 5.2. start:292 paragraphs:2, tables:1, lists:0
en 5.3. start:314 paragraphs:4, tables:2, lists:0
ro 5.3. start:308 paragraphs:4, tables:2, lists:0
en 5.4. start:339 paragraphs:7, tables:1, lists:0
ro 5.4. start:333 paragraphs:7, tables:1, lists:0
en 5.5. start:384 paragraphs:6, tables:2, lists:0
ro 5.5. start:378 paragraphs:6, tables:2, lists:0
en 5.6. start:428 paragraphs:2, tables:1, lists:0
ro 5.6. start:421 paragraphs:2, tables:1, lists:0
en 5.6.1. start:439 paragraphs:1, tables:0, lists:0
ro 5.6.1. start:432 paragraphs:1, tables:0, lists:0
en 5.6.2. start:444 paragraphs:3, tables:0, lists:0
ro 5.6.2. start:437 paragraphs:3, tables:0, lists:0
en 5.6.3. start:453 paragraphs:3, tables:0, lists:0
ro 5.6.3. start:446 paragraphs:3, tables:0, lists:0
en 5.7. start:462 paragraphs:5, tables:1, lists:0
ro 5.7. start:455 paragraphs:5, tables:1, lists:0
en 6. start:487 paragraphs:4, tables:1, lists:1
ro 6. start:480 paragraphs:4, tables:1, lists:1
en 6.1. start:529 paragraphs:4, tables:1, lists:1
ro 6.1. start:519 paragraphs:4, tables:1, lists:1
en 6.2. start:571 paragraphs:1, tables:1, lists:0
ro 6.2. start:561 paragraphs:1, tables:1, lists:0
en 6.3. start:582 paragraphs:1, tables:1, lists:0
ro 6.3. start:572 paragraphs:1, tables:1, lists:0
en 6.4. start:595 paragraphs:1, tables:1, lists:0
ro 6.4. start:585 paragraphs:1, tables:1, lists:0
en 7. start:607 paragraphs:3, tables:0, lists:1
ro 7. start:597 paragraphs:3, tables:0, lists:1
en 7.1. start:626 paragraphs:5, tables:1, lists:1
ro 7.1. start:614 paragraphs:5, tables:1, lists:1
