# Structural comparison of ta/userGuide.t2t against ta/userGuide-newRevisions/22978/userGuide.t2t
en 1.2. start:41 paragraphs:1, tables:0, lists:1
en 1.3. start:49 paragraphs:1, tables:0, lists:0
en 1.4. start:53 paragraphs:3, tables:0, lists:0
en 1.5. start:60 paragraphs:2, tables:0, lists:0
en 1.6. start:69 paragraphs:3, tables:0, lists:0
ta 2. start:41 paragraphs:0, tables:0, lists:1
en 2. start:82 paragraphs:1, tables:0, lists:0
ta 2.1. start:49 paragraphs:1, tables:0, lists:0
en 2.1. start:89 paragraphs:2, tables:0, lists:0
en 2.1.1. start:98 paragraphs:2, tables:0, lists:1
ta 2.2. start:53 paragraphs:3, tables:0, lists:0
en 2.2. start:111 paragraphs:2, tables:0, lists:0
en 2.2.1. start:119 paragraphs:6, tables:0, lists:2
en 2.2.2. start:153 paragraphs:2, tables:0, lists:1
ta 2.3. start:60 paragraphs:2, tables:0, lists:0
en 2.3. start:185 paragraphs:2, tables:0, lists:0
en 2.3.1. start:195 paragraphs:1, tables:0, lists:0
en 2.3.2. start:199 paragraphs:1, tables:0, lists:0
en 2.3.3. start:204 paragraphs:0, tables:1, lists:0
en 2.3.4. start:211 paragraphs:0, tables:1, lists:0
en 2.3.5. start:218 paragraphs:0, tables:1, lists:0
en 2.3.6. start:228 paragraphs:0, tables:1, lists:0
en 2.3.7. start:235 paragraphs:0, tables:1, lists:0
en 2.3.8. start:242 paragraphs:1, tables:1, lists:0
ta 2.4. start:69 paragraphs:3, tables:0, lists:0
en 2.4. start:255 paragraphs:1, tables:0, lists:0
en 2.5. start:263 paragraphs:2, tables:0, lists:0
en 2.6. start:274 paragraphs:6, tables:0, lists:1
ta 3. start:82 paragraphs:1, tables:0, lists:0
en 3. start:298 paragraphs:0, tables:0, lists:0
ta 3.1. start:89 paragraphs:2, tables:0, lists:0
en 3.1. start:300 paragraphs:2, tables:0, lists:0
ta 3.1.1. start:98 paragraphs:2, tables:0, lists:1
en 3.1.1. start:311 paragraphs:1, tables:0, lists:0
en 3.1.2. start:318 paragraphs:1, tables:0, lists:0
en 3.1.3. start:323 paragraphs:1, tables:0, lists:0
en 3.1.4. start:327 paragraphs:1, tables:0, lists:0
ta 3.2. start:111 paragraphs:2, tables:0, lists:0
en 3.2. start:332 paragraphs:2, tables:0, lists:0
ta 3.2.1. start:119 paragraphs:6, tables:0, lists:2
ta 3.2.2. start:153 paragraphs:2, tables:0, lists:1
ta 3.3. start:185 paragraphs:2, tables:0, lists:0
en 3.3. start:345 paragraphs:4, tables:0, lists:1
ta 3.3.1. start:195 paragraphs:1, tables:0, lists:0
ta 3.3.2. start:199 paragraphs:1, tables:0, lists:0
