# Structural comparison of tr/userGuide.t2t against tr/userGuide-newRevisions/22401/userGuide.t2t
en 1. start:12 paragraphs:2, tables:0, lists:0
tr 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:19 paragraphs:4, tables:0, lists:1
tr 1.1. start:17 paragraphs:4, tables:0, lists:1
en 1.2. start:41 paragraphs:1, tables:0, lists:1
tr 1.2. start:39 paragraphs:0, tables:0, lists:1
en 1.3. start:51 paragraphs:1, tables:0, lists:0
tr 1.3. start:49 paragraphs:1, tables:0, lists:0
en 1.4. start:55 paragraphs:3, tables:0, lists:0
tr 1.4. start:53 paragraphs:3, tables:0, lists:0
en 1.5. start:62 paragraphs:2, tables:0, lists:0
tr 1.5. start:60 paragraphs:2, tables:0, lists:0
en 1.6. start:70 paragraphs:3, tables:0, lists:0
tr 1.6. start:68 paragraphs:3, tables:0, lists:0
en 2. start:83 paragraphs:1, tables:0, lists:0
tr 2. start:81 paragraphs:1, tables:0, lists:0
en 2.1. start:90 paragraphs:2, tables:0, lists:0
tr 2.1. start:88 paragraphs:2, tables:0, lists:0
en 2.1.1. start:99 paragraphs:2, tables:0, lists:1
tr 2.1.1. start:97 paragraphs:2, tables:0, lists:1
en 2.2. start:112 paragraphs:2, tables:0, lists:0
tr 2.2. start:110 paragraphs:2, tables:0, lists:0
en 2.2.1. start:120 paragraphs:6, tables:0, lists:2
tr 2.2.1. start:118 paragraphs:6, tables:0, lists:2
en 2.2.2. start:154 paragraphs:2, tables:0, lists:1
tr 2.2.2. start:151 paragraphs:2, tables:0, lists:1
en 2.3. start:186 paragraphs:2, tables:0, lists:0
tr 2.3. start:183 paragraphs:2, tables:0, lists:0
en 2.3.1. start:196 paragraphs:1, tables:0, lists:0
tr 2.3.1. start:193 paragraphs:1, tables:0, lists:0
en 2.3.2. start:200 paragraphs:1, tables:0, lists:0
tr 2.3.2. start:197 paragraphs:1, tables:0, lists:0
en 2.3.3. start:205 paragraphs:0, tables:1, lists:0
tr 2.3.3. start:202 paragraphs:0, tables:1, lists:0
en 2.3.4. start:212 paragraphs:0, tables:1, lists:0
tr 2.3.4. start:209 paragraphs:0, tables:1, lists:0
en 2.3.5. start:219 paragraphs:0, tables:1, lists:0
tr 2.3.5. start:216 paragraphs:0, tables:1, lists:0
en 2.3.6. start:229 paragraphs:0, tables:1, lists:0
tr 2.3.6. start:226 paragraphs:0, tables:1, lists:0
en 2.3.7. start:236 paragraphs:0, tables:1, lists:0
tr 2.3.7. start:233 paragraphs:0, tables:1, lists:0
en 2.3.8. start:243 paragraphs:1, tables:1, lists:0
tr 2.3.8. start:240 paragraphs:1, tables:1, lists:0
en 2.4. start:256 paragraphs:1, tables:0, lists:0
tr 2.4. start:253 paragraphs:1, tables:0, lists:0
en 2.5. start:264 paragraphs:2, tables:0, lists:0
tr 2.5. start:261 paragraphs:2, tables:0, lists:0
en 2.6. start:275 paragraphs:5, tables:0, lists:1
tr 2.6. start:272 paragraphs:6, tables:0, lists:1
en 3. start:297 paragraphs:0, tables:0, lists:0
tr 3. start:295 paragraphs:0, tables:0, lists:0
en 3.1. start:299 paragraphs:2, tables:0, lists:0
tr 3.1. start:297 paragraphs:2, tables:0, lists:0
en 3.1.1. start:310 paragraphs:1, tables:0, lists:0
tr 3.1.1. start:308 paragraphs:1, tables:0, lists:0
en 3.1.2. start:317 paragraphs:1, tables:0, lists:0
tr 3.1.2. start:315 paragraphs:1, tables:0, lists:0
en 3.1.3. start:322 paragraphs:1, tables:0, lists:0
tr 3.1.3. start:320 paragraphs:1, tables:0, lists:0
en 3.1.4. start:326 paragraphs:1, tables:0, lists:0
tr 3.1.4. start:324 paragraphs:1, tables:0, lists:0
en 3.2. start:331 paragraphs:2, tables:0, lists:0
tr 3.2. start:329 paragraphs:2, tables:0, lists:0
en 3.3. start:344 paragraphs:4, tables:0, lists:1
tr 3.3. start:342 paragraphs:3, tables:0, lists:1
en 4. start:366 paragraphs:0, tables:0, lists:0
tr 4. start:363 paragraphs:0, tables:0, lists:0
en 4.1. start:368 paragraphs:5, tables:0, lists:0
tr 4.1. start:365 paragraphs:5, tables:0, lists:0
en 4.1.1. start:388 paragraphs:1, tables:0, lists:0
tr 4.1.1. start:385 paragraphs:1, tables:0, lists:0
en 4.1.2. start:397 paragraphs:1, tables:0, lists:0
tr 4.1.2. start:394 paragraphs:1, tables:0, lists:0
en 4.2. start:404 paragraphs:0, tables:0, lists:0
tr 4.2. start:401 paragraphs:0, tables:0, lists:0
en 4.2.1. start:406 paragraphs:3, tables:0, lists:0
tr 4.2.1. start:403 paragraphs:3, tables:0, lists:0
en 4.2.2. start:415 paragraphs:2, tables:0, lists:0
tr 4.2.2. start:412 paragraphs:2, tables:0, lists:0
en 4.3. start:423 paragraphs:1, tables:0, lists:0
tr 4.3. start:420 paragraphs:1, tables:0, lists:0
en 4.3.1. start:432 paragraphs:1, tables:0, lists:0
tr 4.3.1. start:429 paragraphs:1, tables:0, lists:0
en 4.3.2. start:437 paragraphs:7, tables:0, lists:0
tr 4.3.2. start:434 paragraphs:7, tables:0, lists:0
en 4.3.3. start:460 paragraphs:2, tables:0, lists:0
tr 4.3.3. start:457 paragraphs:2, tables:0, lists:0
en 4.3.4. start:471 paragraphs:2, tables:0, lists:0
tr 4.3.4. start:468 paragraphs:2, tables:0, lists:0
en 4.4. start:480 paragraphs:2, tables:0, lists:0
tr 4.4. start:477 paragraphs:2, tables:0, lists:0
en 4.5. start:488 paragraphs:3, tables:0, lists:1
tr 4.5. start:485 paragraphs:3, tables:0, lists:1
en 4.6. start:501 paragraphs:0, tables:1, lists:0
tr 4.6. start:499 paragraphs:0, tables:1, lists:0
en 4.7. start:515 paragraphs:0, tables:1, lists:0
tr 4.7. start:513 paragraphs:0, tables:1, lists:0
en 5. start:523 paragraphs:1, tables:0, lists:0
tr 5. start:521 paragraphs:1, tables:0, lists:0
en 5.1. start:526 paragraphs:1, tables:0, lists:0
tr 5.1. start:524 paragraphs:1, tables:0, lists:0
en 5.2. start:530 paragraphs:3, tables:1, lists:0
tr 5.2. start:528 paragraphs:3, tables:1, lists:0
en 5.3. start:548 paragraphs:4, tables:2, lists:0
tr 5.3. start:545 paragraphs:4, tables:2, lists:0
en 5.4. start:582 paragraphs:8, tables:1, lists:0
tr 5.4. start:579 paragraphs:7, tables:1, lists:0
en 5.5. start:633 paragraphs:6, tables:2, lists:0
tr 5.5. start:628 paragraphs:6, tables:2, lists:0
en 5.6. start:678 paragraphs:2, tables:1, lists:0
tr 5.6. start:671 paragraphs:2, tables:1, lists:0
en 5.6.1. start:688 paragraphs:1, tables:0, lists:0
tr 5.6.1. start:681 paragraphs:1, tables:0, lists:0
en 5.6.2. start:693 paragraphs:3, tables:0, lists:0
tr 5.6.2. start:686 paragraphs:3, tables:0, lists:0
en 5.6.3. start:702 paragraphs:3, tables:0, lists:0
tr 5.6.3. start:695 paragraphs:3, tables:0, lists:0
en 5.7. start:711 paragraphs:5, tables:1, lists:0
tr 5.7. start:704 paragraphs:5, tables:1, lists:0
en 6. start:736 paragraphs:5, tables:1, lists:1
tr 6. start:729 paragraphs:5, tables:1, lists:1
en 6.1. start:776 paragraphs:4, tables:1, lists:1
tr 6.1. start:769 paragraphs:9, tables:1, lists:3
en 6.1.1. start:818 paragraphs:4, tables:0, lists:2
en 6.2. start:838 paragraphs:1, tables:1, lists:0
tr 6.2. start:831 paragraphs:1, tables:1, lists:0
en 6.3. start:849 paragraphs:1, tables:1, lists:0
tr 6.3. start:842 paragraphs:1, tables:1, lists:0
en 6.4. start:862 paragraphs:1, tables:1, lists:0
tr 6.4. start:855 paragraphs:1, tables:1, lists:0
en 7. start:874 paragraphs:4, tables:0, lists:1
tr 7. start:867 paragraphs:4, tables:0, lists:1
en 7.1. start:903 paragraphs:7, tables:1, lists:1
tr 7.1. start:896 paragraphs:7, tables:1, lists:1
en 8. start:928 paragraphs:2, tables:0, lists:0
tr 8. start:921 paragraphs:2, tables:0, lists:0
en 8.1. start:937 paragraphs:3, tables:3, lists:0
tr 8.1. start:930 paragraphs:4, tables:4, lists:0
en 8.2. start:1030 paragraphs:3, tables:0, lists:0
tr 8.2. start:1023 paragraphs:3, tables:0, lists:0
en 8.2.1. start:1045 paragraphs:5, tables:0, lists:0
tr 8.2.1. start:1038 paragraphs:5, tables:0, lists:0
en 9. start:1066 paragraphs:3, tables:0, lists:0
tr 9. start:1059 paragraphs:3, tables:0, lists:0
en 9.1. start:1075 paragraphs:3, tables:0, lists:1
tr 9.1. start:1068 paragraphs:3, tables:0, lists:1
en 9.2. start:1086 paragraphs:4, tables:0, lists:0
tr 9.2. start:1079 paragraphs:4, tables:0, lists:0
en 10. start:1099 paragraphs:3, tables:0, lists:0
tr 10. start:1092 paragraphs:3, tables:0, lists:0
en 10.1. start:1113 paragraphs:5, tables:0, lists:0
tr 10.1. start:1106 paragraphs:5, tables:0, lists:0
en 11. start:1129 paragraphs:1, tables:0, lists:0
tr 11. start:1122 paragraphs:1, tables:0, lists:0
en 11.1. start:1132 paragraphs:0, tables:0, lists:0
tr 11.1. start:1125 paragraphs:0, tables:0, lists:0
en 11.1.1. start:1134 paragraphs:2, tables:1, lists:0
tr 11.1.1. start:1127 paragraphs:2, tables:1, lists:0
en 11.1.2. start:1147 paragraphs:1, tables:0, lists:0
tr 11.1.2. start:1140 paragraphs:1, tables:0, lists:0
en 11.1.2.1. start:1154 paragraphs:1, tables:0, lists:0
tr 11.1.2.1. start:1147 paragraphs:1, tables:0, lists:0
en 11.1.3. start:1160 paragraphs:1, tables:0, lists:0
tr 11.1.3. start:1153 paragraphs:1, tables:0, lists:0
en 11.2. start:1166 paragraphs:0, tables:0, lists:0
tr 11.2. start:1159 paragraphs:0, tables:0, lists:0
en 11.2.1. start:1168 paragraphs:2, tables:1, lists:0
tr 11.2.1. start:1161 paragraphs:2, tables:1, lists:0
en 11.2.2. start:1181 paragraphs:2, tables:0, lists:1
tr 11.2.2. start:1174 paragraphs:2, tables:0, lists:1
en 11.2.3. start:1203 paragraphs:5, tables:0, lists:0
tr 11.2.3. start:1196 paragraphs:5, tables:0, lists:0
en 11.2.4. start:1226 paragraphs:1, tables:0, lists:0
tr 11.2.4. start:1219 paragraphs:1, tables:0, lists:0
en 11.2.5. start:1232 paragraphs:1, tables:0, lists:0
tr 11.2.5. start:1225 paragraphs:1, tables:0, lists:0
en 11.3. start:1238 paragraphs:0, tables:1, lists:0
tr 11.3. start:1231 paragraphs:0, tables:1, lists:0
en 11.4. start:1244 paragraphs:1, tables:1, lists:0
tr 11.4. start:1237 paragraphs:1, tables:1, lists:0
en 11.5. start:1254 paragraphs:0, tables:1, lists:0
tr 11.5. start:1247 paragraphs:0, tables:1, lists:0
en 11.6. start:1260 paragraphs:0, tables:1, lists:0
tr 11.6. start:1253 paragraphs:0, tables:1, lists:0
en 11.7. start:1267 paragraphs:4, tables:0, lists:0
tr 11.7. start:1260 paragraphs:4, tables:0, lists:0
en 11.7.1. start:1284 paragraphs:1, tables:0, lists:0
tr 11.7.1. start:1277 paragraphs:1, tables:0, lists:0
en 11.7.2. start:1292 paragraphs:4, tables:0, lists:1
tr 11.7.2. start:1285 paragraphs:4, tables:0, lists:1
en 11.8. start:1306 paragraphs:1, tables:1, lists:0
tr 11.8. start:1299 paragraphs:1, tables:1, lists:0
en 11.9. start:1314 paragraphs:1, tables:1, lists:0
tr 11.9. start:1307 paragraphs:1, tables:1, lists:0
en 12. start:1330 paragraphs:1, tables:0, lists:0
tr 12. start:1323 paragraphs:1, tables:0, lists:0
en 12.1. start:1338 paragraphs:4, tables:0, lists:0
tr 12.1. start:1331 paragraphs:4, tables:0, lists:0
en 12.1.1. start:1356 paragraphs:18, tables:0, lists:3
tr 12.1.1. start:1349 paragraphs:20, tables:0, lists:3
en 12.1.2. start:1435 paragraphs:27, tables:0, lists:0
tr 12.1.2. start:1433 paragraphs:27, tables:1, lists:0
en 12.1.3. start:1544 paragraphs:9, tables:0, lists:1
tr 12.1.3. start:1547 paragraphs:6, tables:0, lists:0
en 12.1.4. start:1573 paragraphs:1, tables:1, lists:0
tr 12.1.4. start:1565 paragraphs:1, tables:1, lists:0
en 12.1.5. start:1583 paragraphs:38, tables:0, lists:0
tr 12.1.5. start:1575 paragraphs:35, tables:2, lists:0
en 12.1.6. start:1747 paragraphs:13, tables:0, lists:0
tr 12.1.6. start:1736 paragraphs:14, tables:0, lists:0
