# Structural comparison of zh_CN/userGuide.t2t against zh_CN/userGuide-newRevisions/22978/userGuide.t2t
en 2.1.1. start:98 paragraphs:2, tables:0, lists:1
zh_CN 2.1.1. start:99 paragraphs:2, tables:0, lists:1
en 2.2. start:111 paragraphs:2, tables:0, lists:0
zh_CN 2.2. start:113 paragraphs:2, tables:0, lists:0
en 2.2.1. start:119 paragraphs:6, tables:0, lists:2
zh_CN 2.2.1. start:121 paragraphs:5, tables:0, lists:2
en 2.2.2. start:153 paragraphs:2, tables:0, lists:1
zh_CN 2.2.2. start:154 paragraphs:2, tables:0, lists:1
en 2.3. start:185 paragraphs:2, tables:0, lists:0
zh_CN 2.3. start:186 paragraphs:2, tables:0, lists:0
en 2.3.1. start:195 paragraphs:1, tables:0, lists:0
zh_CN 2.3.1. start:196 paragraphs:1, tables:0, lists:0
en 2.3.2. start:199 paragraphs:1, tables:0, lists:0
zh_CN 2.3.2. start:200 paragraphs:1, tables:0, lists:0
en 2.3.3. start:204 paragraphs:0, tables:1, lists:0
zh_CN 2.3.3. start:205 paragraphs:0, tables:1, lists:0
en 2.3.4. start:211 paragraphs:0, tables:1, lists:0
zh_CN 2.3.4. start:212 paragraphs:0, tables:1, lists:0
en 2.3.5. start:218 paragraphs:0, tables:1, lists:0
zh_CN 2.3.5. start:219 paragraphs:0, tables:1, lists:0
en 2.3.6. start:228 paragraphs:0, tables:1, lists:0
zh_CN 2.3.6. start:229 paragraphs:0, tables:1, lists:0
en 2.3.7. start:235 paragraphs:0, tables:1, lists:0
zh_CN 2.3.7. start:236 paragraphs:0, tables:1, lists:0
en 2.3.8. start:242 paragraphs:1, tables:1, lists:0
zh_CN 2.3.8. start:243 paragraphs:1, tables:1, lists:0
en 2.4. start:255 paragraphs:1, tables:0, lists:0
zh_CN 2.4. start:256 paragraphs:1, tables:0, lists:0
en 2.5. start:263 paragraphs:2, tables:0, lists:0
zh_CN 2.5. start:264 paragraphs:2, tables:0, lists:0
en 2.6. start:274 paragraphs:6, tables:0, lists:1
zh_CN 2.6. start:275 paragraphs:6, tables:0, lists:1
en 3. start:298 paragraphs:0, tables:0, lists:0
zh_CN 3. start:299 paragraphs:0, tables:0, lists:0
en 3.1. start:300 paragraphs:2, tables:0, lists:0
zh_CN 3.1. start:301 paragraphs:2, tables:0, lists:0
en 3.1.1. start:311 paragraphs:1, tables:0, lists:0
zh_CN 3.1.1. start:312 paragraphs:1, tables:0, lists:0
en 3.1.2. start:318 paragraphs:1, tables:0, lists:0
zh_CN 3.1.2. start:319 paragraphs:1, tables:0, lists:0
en 3.1.3. start:323 paragraphs:1, tables:0, lists:0
zh_CN 3.1.3. start:324 paragraphs:1, tables:0, lists:0
en 3.1.4. start:327 paragraphs:1, tables:0, lists:0
zh_CN 3.1.4. start:328 paragraphs:1, tables:0, lists:0
en 3.2. start:332 paragraphs:2, tables:0, lists:0
zh_CN 3.2. start:333 paragraphs:2, tables:0, lists:0
